occurrenceID,family,familyAccepted,acceptedNameUsage,acceptedNameUsageWithoutAuthorship,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
occurrence:rj:1636531,Rubiaceae,RUBIACEAE,"Hindsia glabra K.Schum.","Hindsia glabra",0,0,,ok,,,,,"Hindsia glabra K.Schum.",false,unknown,unknown,yes,unknown,unknown,"Igor Lourenço Oliveira ; Marta Moraes ; Raquel",
occurrence:rj:1636533,Rubiaceae,RUBIACEAE,"Hindsia ramosissima Gardner","Hindsia ramosissima",-10.8339,-52.8731,,nok,,,,,"Hindsia ramosissima Gardner",false,unknown,unknown,yes,unknown,unknown,"Tomás Amorim ; Marta Moraes ; Raquel",
occurrence:rj:1642174,Myrtaceae,MYRTACEAE,"Myrcia colpodes Kiaersk.","Myrcia colpodes",-10.8339,-52.8731,,nok,,,,,"Myrcia colpodes Kiaersk.",true,valid,no,no,native,valid,"Bruno Amorim ; Tomás Amorim ; Lucas Moulton",
occurrence:rj:1642391,Myrtaceae,MYRTACEAE,"Myrcia oreioeca Kiaersk.","Myrcia oreioeca",0,0,,nok,,,,,"Myrcia oreioeca Kiaersk.",false,unknown,unknown,yes,unknown,unknown,"Rogerio Braga ; Lucas Moulton",
occurrence:rj:1642508,Myrtaceae,MYRTACEAE,"Myrcia rubiginosa Cambess.","Myrcia rubiginosa",0,0,,nok,,,,,"Myrcia rubiginosa Cambess.",false,unknown,unknown,yes,unknown,unknown,"Rogerio Braga ; Lucas Moulton",
occurrence:rj:1642509,Myrtaceae,MYRTACEAE,"Myrcia rubiginosa Cambess.","Myrcia rubiginosa",0,0,,nok,,,,,"Myrcia rubiginosa Cambess.",false,unknown,no,unknown,native,valid,"Bruno Amorim ; Rogerio Braga ; Lucas Moulton",
occurrence:rj:1646680,Rubiaceae,RUBIACEAE,"Psychotria friburgensis Standl.","Psychotria friburgensis",-22.338117,-42.466242,sig,ok,"Fernanda Wimmer",,,"centroide de municipio","Psychotria friburgensis Standl.",true,valid,no,no,native,valid,"Fernanda Wimmer ; Raquel Negrão ; Daniela Zappi ; Tomás Amorim ; Raquel",
occurrence:rj:1646681,Rubiaceae,RUBIACEAE,"Psychotria friburgensis Standl.","Psychotria friburgensis",0,0,,nok,,,,,"Psychotria friburgensis Standl.",false,,,yes,,,"Fernanda Wimmer ; Daniela Zappi ; Tomás Amorim ; Raquel",
occurrence:rj:1647817,Rubiaceae,RUBIACEAE,"Rudgea allophylla Standl.","Rudgea allophylla",-22,-42.5,,ok,,,,,"Rudgea allophylla Standl.",false,,,yes,,,"Raquel Negrão ; Tomás Amorim ; Raquel",
occurrence:rj:1647818,Rubiaceae,RUBIACEAE,"Rudgea allophylla Standl.","Rudgea allophylla",-22,-42.5,,ok,,,,,"Rudgea allophylla Standl.",false,,,yes,,,"Raquel Negrão ; Tomás Amorim ; Raquel",
