family,scientificName,document,field,reference
ACANTHACEAE,"Schaueria calycotricha",profile,threats,"Fernandes, M. do C., Lagüéns, J.V.M., Netto, A.L.C., 1999. O Processo de Ocupação por Favelas e sua Relação com os Eventos de Deslizamentos no Maciço daTijuca/RJ. Anuário do Inst. Geociências - UFRJ 22, 45–59.  Soares, R.C.R. de S., 2008. Plano de Manejo do Parque Nacional da Tijuca."
ACANTHACEAE,"Schaueria calycotricha",profile,threats,"Filho, E.T.D.C., Bravo, E.J.C.., Tinoco, T., 2010. Florística preliminar e bioinvasão na Restinga da Praia de Itauna devido a ocupação desordenada, Saquarema, RJ., in: 13o Simpósio de Biologia Marinha. Santos, SP, p. 4."
ACANTHACEAE,"Schaueria calycotricha",profile,threats,"Holzer, W., Crichyno, J., Pires, A.C., 2004. Sustentabilidade da urbanização em áreas de restinga: uma proposta de avaliação pós-ocupação. Paisagem e Ambiente. 49–65."
ACANTHACEAE,"Schaueria calycotricha",profile,threats,"Mallet-Rodrigues, F., Parrini, R., & Pacheco, J. F. (2007). Birds of the Serra dos Órgãos , State of Rio de Janeiro , Southeastern Brazil : a review. Revista Brasileira de Ornitologia, 15(1), 5–35."
ACANTHACEAE,"Schaueria calycotricha",profile,threats,"Ribeiro, G., Oliveira, L.D. de, 2009. As Territorialidades da Metrópole no Século XXI: Tensões entre o Tradicional e o Moderno na Cidade de Cabo Frio-RJ. Geo UERJ 3, 108–127."
ACANTHACEAE,"Schaueria calycotricha",profile,threats,"Barros, A.A.M. de, 2008. Análise Florística e estrutural do Parque Estadual da Serra da Tiririca, Niterói e Maricá, RJ, Brasil. Escola Nacional de Botânica Tropical."
ACANTHACEAE,"Schaueria calycotricha",profile,threats,"Figueiró, A.S., Coelho Netto, A.L., 2009. Impacto ambiental ao longo de trilhas em áreas de floresta tropical de encosta : Maciço da Tijuca Rio de Janeiro - RJ. Mercator 8, 187–200. doi:10.4215/RM2009.0816.0015"
ACANTHACEAE,"Schaueria calycotricha",profile,threats,"Soares, R.C.R. de S., 2008. Plano de Manejo do Parque Nacional da Tijuca."
ACANTHACEAE,"Schaueria calycotricha",profile,threats,"Matos, J.J.B.S., 2007. Composição Florística de espécies arbóreo-Arbustivas em trecho de borda situado no parque nacional da Tijuca. Monografia. Universidade Federal Rural do Rio de Janeiro."
ACANTHACEAE,"Schaueria calycotricha",profile,threats,"Filho, E.T.D.C., Bravo, E.J.C.., Tinoco, T., 2010. Florística preliminar e bioinvasão na Restinga da Praia de Itauna devido a ocupação desordenada, Saquarema, RJ., in: 13o Simpósio de Biologia Marinha. Santos, SP, p. 4."
ACANTHACEAE,"Schaueria sulfurea",profile,distribution,"Profice, S., 2014. Acanthaceae. Catálogo das espécies plantas vasculares e briófitas do Estado do Rio Janeiro. Rio Janeiro: Inst. Pesqui. Jard. Botânico do Rio Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br>. Acesso em 20 mar. 2015."
ACANTHACEAE,"Schaueria sulfurea",profile,distribution,"Profice, S.R., Kameyama, C., Côrtes, A.L.A., Braz, D.M., Indriunas, A., Vilar, T., Pessoa, C., Ezcurra, C., Wasshausen, D., 2015. Acanthaceae in Lista de Espécies da Flora do Brasil. Jard. Botânico do Rio Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB4109>. Acesso em: 20 mar. 2015."
ACANTHACEAE,"Schaueria sulfurea",profile,ecology,"Profice, S.R., Kameyama, C., Côrtes, A.L.A., Braz, D.M., Indriunas, A., Vilar, T., Pessoa, C., Ezcurra, C., Wasshausen, D., 2015. Acanthaceae in Lista de Espécies da Flora do Brasil. Jard. Botânico do Rio Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB4109>. Acesso em: 20 mar. 2015."
ACANTHACEAE,"Schaueria sulfurea",profile,threats,"Santos, J.F.C., Santos, G.R., Cabreira, G. V., Araújo, E.J.G., 2014. Fragmentação florestal no Vale do Café Sul Fluminense, in: III Simpósio de Pesquisa Em Mata Atlântica - Engenheiro Paulo de Frotin. Rio de Janeiro, RJ, p. 4."
ACANTHACEAE,"Schaueria sulfurea",profile,threats,"Silva, V.V. 2002. Médio Vale Paraíba do Sul: Fragmentação e Vulnerabilidade dos Remanescentes da Mata Atlântica. Dissertação de Mestrado, Programa de Pós-Graduação em Ciência Ambiental, Universidade Federal Fluminense, RJ. 109pp"
ACANTHACEAE,"Schaueria sulfurea",profile,actions,"ITPA, 2015. Clima, Biodiversidade e água. Disponível em: <http://www.itpa.org.br/?p=2580>. Acesso em: 20 mar. 2015."
Orchidaceae,"Aganisia cyanea f. cyanea",profile,taxonomicNotes,"Meneguzzo, T.E.C. (2013). Sistemática do complexo Zygopetalum e estudos taxonômicos do subcomplexo Aganisia (Orchidaceae, Zygopetalinae). Unpublished MSc Thesis, Escola Nacional de Botânica Tropical-Instituto de Pesquisas Jardim Botânico do Rio de Janeiro."
Orchidaceae,"Aganisia cyanea f. cyanea",profile,taxonomicNotes,"Meneguzzo, T.E.C.; Romero-González, G.A.; Baumgratz, J.F.A.; van den Berg, C. Taxonomic studies in the Aganisia complex (Orchidaceae). Phytotaxa (in press)."
Orchidaceae,"Aganisia cyanea f. cyanea",profile,economicValue,"Meneguzzo, T.E.C. (com. pess. 2015)."
Orchidaceae,"Aganisia cyanea f. cyanea",profile,distribution,"Meneguzzo, T.E.C. (2013). Sistemática do complexo Zygopetalum e estudos taxonômicos do subcomplexo Aganisia (Orchidaceae, Zygopetalinae). Unpublished MSc Thesis, Escola Nacional de Botânica Tropical-Instituto de Pesquisas Jardim Botânico do Rio de Janeiro."
Orchidaceae,"Aganisia cyanea f. cyanea",profile,distribution,"Meneguzzo, T.E.C.; Romero-González, G.A.; Baumgratz, J.F.A.; van den Berg, C. Taxonomic studies in the Aganisia complex (Orchidaceae). Phytotaxa (in press)."
Orchidaceae,"Aganisia cyanea f. cyanea",profile,uses,"Meneguzzo, T.E.C. (com. pess. 2015)."
COMMELINACEAE,"Dichorisandra begoniifolia",profile,taxonomicNotes,"Kunth, K.S. 1843. Enumeraio plantarum 4: 112."
COMMELINACEAE,"Dichorisandra begoniifolia",profile,distribution,"Aona, L.Y.S. 2008. Revisão taxonômica e análise cladística do gênero Dichorisandra J.C.Mikan (Commelinaceae). Tese de Doutorado. Campinas: Instituto de Biologia, Universidade Estadual de Campinas, 310 p."
COMMELINACEAE,"Dichorisandra begoniifolia",profile,distribution,"Aona, L.Y.S.; Pellegrini, M.O.O. 2014. Commelinaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB91."
