family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
FABACEAE,"Aeschynomene simplicifolia",G.P.Lewis,"Aeschynomene simplicifolia"
FABACEAE,"Bauhinia candelabriformis",R.S.Cowan,"Bauhinia candelabriformis"
FABACEAE,"Bauhinia leptantha",Malme,"Bauhinia leptantha"
FABACEAE,"Bauhinia malacotrichoides",R.S.Cowan,"Bauhinia malacotrichoides"
FABACEAE,"Bocoa ratteri",H.E.Ireland,"Bocoa ratteri"
FABACEAE,"Calliandra gardneri",Benth.,"Calliandra gardneri"
FABACEAE,"Calliandra imbricata","E.R.Souza & L.P.Queiroz","Calliandra imbricata"
FABACEAE,"Calliandra linearis",Benth.,"Calliandra linearis"
FABACEAE,"Calliandra santosiana",Glaz.,"Calliandra santosiana"
FABACEAE,"Calliandra semisepulta",Barneby,"Calliandra semisepulta"
FABACEAE,"Chamaecrista adamantina","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista adamantina"
FABACEAE,"Chamaecrista altoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista altoana"
FABACEAE,"Chamaecrista caiapo","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista caiapo"
FABACEAE,"Chamaecrista caracensis","(Taub. ex H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista caracensis"
FABACEAE,"Chamaecrista catapodia","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista catapodia"
FABACEAE,"Chamaecrista catiarae","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista catiarae"
FABACEAE,"Chamaecrista centiflora","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista centiflora"
FABACEAE,"Chamaecrista coradinii","H.S.Irwin & Barneby","Chamaecrista coradinii"
FABACEAE,"Chamaecrista coriacea","(Bong. ex Benth.) H.S.Irwin & Barneby","Chamaecrista coriacea"
FABACEAE,"Chamaecrista deltoidea","Hervencio & L.P.Queiroz","Chamaecrista deltoidea"
FABACEAE,"Chamaecrista dumalis","(Hoehne) H.S.Irwin & Barneby","Chamaecrista dumalis"
FABACEAE,"Chamaecrista ericifolia","(Benth.) H.S.Irwin & Barneby","Chamaecrista ericifolia"
FABACEAE,"Chamaecrista fuscescens","(Benth.) H.S.Irwin & Barneby","Chamaecrista fuscescens"
FABACEAE,"Chamaecrista geraldii","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista geraldii"
FABACEAE,"Chamaecrista gumminans","H.S.Irwin & Barneby","Chamaecrista gumminans"
FABACEAE,"Chamaecrista hatschbachii","H.S.Irwin & Barneby","Chamaecrista hatschbachii"
FABACEAE,"Chamaecrista itabiritoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista itabiritoana"
