"family","scientificName","analysis","assessment","category","criteria"
"FABACEAE","Mimosa pyrenea","done","comments","NT",""
"FABACEAE","Mimosa regina","done","comments","EN","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
"FABACEAE","Mimosa setosissima","done","comments","LC",""
"FABACEAE","Mimosa splendida","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"FABACEAE","Mimosa ulbrichiana","done","comments","LC",""
"FABACEAE","Mimosa ulei","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"FABACEAE","Mimosa virgula","done","comments","NT",""
"FABACEAE","Moldenhawera acuminata","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"FABACEAE","Poiretia bahiana","done","comments","LC",""
"FABACEAE","Poiretia marginata","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"FABACEAE","Poiretia unifoliolata","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"FABACEAE","Zornia glaziovii","done","comments","CR","B2ab(iii)"
"FABACEAE","Zornia subsessilis","done","comments","EN","B2ab(i,ii,iii)"
"GENTIANACEAE","Prepusa montana","done","comments","VU","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
"GENTIANACEAE","Schultesia bahiensis","done","comments","LC",""
"GENTIANACEAE","Schultesia crenuliflora","done","comments","VU","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"GENTIANACEAE","Schultesia irwiniana","done","comments","CR","B2ab(i,ii,iii,iv)"
"GENTIANACEAE","Schultesia pachyphylla","done","comments","LC",""
"GENTIANACEAE","Schultesia piresiana","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"GENTIANACEAE","Schultesia sucreana","done","comments","CR","B2ab(ii,iii,iv)"
"GESNERIACEAE","Paliavana plumerioides","done","comments","EN","B1ab(iii)+2ab(iii)"
"LAMIACEAE","Eriope angustifolia","done","comments","CR","B2ab(i,ii,iii)"
"LAMIACEAE","Eriope confusa","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"LAMIACEAE","Eriope filifolia","done","comments","EN","B2ab(i,ii,iii,v)"
"LAMIACEAE","Eriope montana","done","comments","VU","B1ab(i,ii,iii)"
"LAMIACEAE","Eriope sincorana","done","comments","NT",""
"LAMIACEAE","Eriope xavantium","done","comments","DD",""
"LAMIACEAE","Hypenia concinna","done","comments","DD",""
"LAMIACEAE","Hypenia paradisi","done","comments","EN","B1ab(i,ii,iii)"
"LAMIACEAE","Hyptidendron dictiocalyx","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"LAMIACEAE","Hyptis argyrophylla","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"LAMIACEAE","Hyptis asteroides","done","comments","DD",""
"LAMIACEAE","Hyptis caduca","done","comments","DD",""
"LAMIACEAE","Hyptis coriacea","done","comments","DD",""
"LAMIACEAE","Hyptis cuniloides","done","comments","VU","B1ab(i,ii,iii)"
"LAMIACEAE","Hyptis dictyodea","done","comments","VU","B1ab(i,ii,iii);D2"
"LAMIACEAE","Hyptis hagei","done","comments","VU","B1ab(i,ii,iii)"
"LAMIACEAE","Hyptis halimifolia","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"LAMIACEAE","Hyptis heterophylla","done","comments","DD",""
