family,scientificName,action,situation,details,references
MELASTOMATACEAE,"Lavoisiera caryophyllea","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Nacional da Serra do Cipó (J.R. Pirani 11920).",
MELASTOMATACEAE,"Lavoisiera harleyi","1.1 Site/area protection","on going","Ocorre em Unidades de Conservação: Parque Nacional da Chapada Diamantina (A.A. Conceição 1308).",
MELASTOMATACEAE,"Lavoisiera macrocarpa","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Nacional da Serra do Cipó (F. Almeda 8579).",
MELASTOMATACEAE,"Lavoisiera mucorifera","1.1 Site/area protection","on going","Ocorre em Unidades de Conservação: Parque Estadual do Biribiri (R. Romero 8341) e Parque Estadual do Rio Preto (J.A. Lombardi 3782).",
MELASTOMATACEAE,"Lavoisiera subulata","1.1 Site/area protection","on going","Ocorre em Unidades de Conservação: Parque Nacional da Serra do Cipó (M. Pereira s.n., BHCB 19650).",
ERIOCAULACEAE,"Leiothrix cipoensis","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Leiothrix crassifolia","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Leiothrix distichoclada","1.1 Site/area protection","on going","A espécie ocorre no Parque Parque Nacional da Chapada Diamantina.",
ERIOCAULACEAE,"Leiothrix luxurians","1.1 Site/area protection","on going","A espécie ocorre no Parque Estadual da Serra do Cipó (H.S. Irwin s.n., CESJ 3516).",
ERIOCAULACEAE,"Leiothrix rupestris","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó.",
ERIOCAULACEAE,"Leiothrix sclerophylla","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Leiothrix sinuosa","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Leiothrix spiralis","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ORCHIDACEAE,"Leptotes vellozicola","1.1 Site/area protection",needed,"A única população conhecida de L. vellozicola não está em área protegida (Van den Berg et al., 2006).","VAN DEN BERG, C.; SMIDT, E.C.; MARÇAL, S. Leptotes vellozicola: a new species of Orchidaceae from Bahia, Brazil. Neodiversity, v.1, pp.1-5, 2006."
ASTERACEAE,"Lessingianthus caiapoensis","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Nacional das Emas (Nakajima et al., 2009).",
BALANOPHORACEAE,"Lophophytum rizzoi","1.1 Site/area protection","on going","A espécie ocorre nas proximidades do Parque Estadual Serra dos Pirineus e do Parque Nacional da Chapada dos Veadeiros.",
OCHNACEAE,"Luxemburgia ciliatibracteata","1.1 Site/area protection","on going","A espécie foi coletada dentro do Parque Nacional da Serra do Cipó (L.S. Kinoshita et al. 385).",
OCHNACEAE,"Luxemburgia damazioana","1.1 Site/area protection",needed,"A espécie foi coletada dentro do Parque Nacional da Serra do Cipó (L.S. Kinoshita et al. 225).",
MONIMIACEAE,"Macropeplus schwackeanus","1.1 Site/area protection",needed,"Existe uma proposta de criação do Parque Nacional da Serra do Gandarela (MMA/ICMBio, 2010).","MMA/ICMBIO. Proposta de criação do Parque Nacional  da Serra do Gandarela. Presente em: <http://www.icmbio.gov.br/portal/images/stories/o-que fazemos/Estudo%20que%20originou%20a%20proposta.pdf>, 2010. Acessado em 12 nov. 2013."
