family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria
FABACEAE,"Chamaecrista altoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
FABACEAE,"Chamaecrista caiapo","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",done,comments,DD,
FABACEAE,"Chamaecrista caracensis","(Taub. ex H.S.Irwin & Barneby) H.S.Irwin & Barneby",done,comments,DD,
FABACEAE,"Chamaecrista catapodia","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",done,comments,DD,
FABACEAE,"Chamaecrista catiarae","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",done,comments,DD,
FABACEAE,"Chamaecrista centiflora","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",done,comments,DD,
FABACEAE,"Chamaecrista coradinii","H.S.Irwin & Barneby",done,comments,VU,D2
FABACEAE,"Chamaecrista coriacea","(Bong. ex Benth.) H.S.Irwin & Barneby",done,comments,CR,"B2ab(i,ii,iii)"
FABACEAE,"Chamaecrista deltoidea","Hervencio & L.P.Queiroz",done,comments,DD,
FABACEAE,"Chamaecrista dumalis","(Hoehne) H.S.Irwin & Barneby",done,comments,NT,
FABACEAE,"Chamaecrista ericifolia","(Benth.) H.S.Irwin & Barneby",done,comments,EN,"B1ab(i,ii,iii)"
FABACEAE,"Chamaecrista fuscescens","(Benth.) H.S.Irwin & Barneby",done,comments,DD,
FABACEAE,"Chamaecrista geraldii","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",done,comments,DD,
FABACEAE,"Chamaecrista gumminans","H.S.Irwin & Barneby",done,comments,DD,
FABACEAE,"Chamaecrista hatschbachii","H.S.Irwin & Barneby",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
FABACEAE,"Chamaecrista itabiritoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",done,comments,CR,"B1ab(i,ii,iii)"
FABACEAE,"Chamaecrista ixodes","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",done,comments,DD,
FABACEAE,"Chamaecrista lavradioides","(Benth.) H.S.Irwin & Barneby",done,comments,VU,D2
FABACEAE,"Chamaecrista leucopilis","(Glaz. ex Harms) H.S.Irwin & Barneby",done,comments,DD,
FABACEAE,"Chamaecrista macedoi","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",done,comments,EN,"B2ab(i,ii,iii)"
FABACEAE,"Chamaecrista ochrosperma","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",done,comments,VU,B1ab(iii)
FABACEAE,"Chamaecrista pachyclada","(Harms) H.S.Irwin & Barneby",done,comments,DD,
FABACEAE,"Chamaecrista phyllostachya","(Benth.) H.S.Irwin & Barneby",done,comments,EN,B1ab(iii)+2ab(iii)
FABACEAE,"Chamaecrista pilicarpa","(Glaz. ex Harms) H.S.Irwin & Barneby",done,comments,DD,
FABACEAE,"Chamaecrista polymorpha","(Glaz. ex Harms) H.S.Irwin & Barneby",done,comments,DD,
FABACEAE,"Chamaecrista psoraleopsis","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",done,comments,DD,
FABACEAE,"Chamaecrista simplifacta","H.S.Irwin & Barneby",done,comments,EN,B1ab(iii)+2ab(iii)
