occurrenceID,family,acceptedNameUsage,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
urn:occurrence:IAP:PACA-AGP:92883,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.8642,-52.8233,coletor,ok,,,,"5 a 10 km","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:IAP:PACA-AGP:92884,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.269292,-51.060912,"google earth",ok,,,,"0 a 250 m","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:IAP:PACA-AGP:92885,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.801853,-52.415214,"google earth",ok,,,," 0 a 250 m","Ephedra tweediana C.A.Mey.",false,,,yes,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:IAP:PACA-AGP:92886,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.361903,-51.271867,"google earth",ok,,,," 0 a 250 m","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:IAP:PACA-AGP:92887,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.361903,-51.271867,"google earth",ok,,,," 0 a 250 m","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:IAP:PACA-AGP:92888,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.132705,-51.788025,"google earth",ok,,,,"5 a 10 km","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:IBt:SP:367468,Poaceae,"Paspalum niquelandiae Filg.",-14.3,-48.383333,coletor,ok,,,,"5 a 10 km","Paspalum niquelandiae Filg.",,,,,,,"Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:INPA:INPA:189550,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.166279,-50.868834,sig,ok,,,,"centroide de municipio","Ephedra tweediana C.A.Mey.",false,,,yes,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:IPA:IPA:23396,Isoetaceae,"Isoetes luetzelburgii U.Weber",-6.75917,-38.2281,coletor,ok,,,,"5 a 10 km","Isoetes luetzelburgii U.Weber",,,,,,,"Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:IPA:IPA:39569,Fabaceae,"Mimosa bracteolaris Benth.",0,0,,nok,,,,,"Mimosa bracteolaris Benth.",,,,,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:IPA:IPA:42770,Isoetaceae,"Isoetes luetzelburgii U.Weber",-8.09056,-39.5783,coletor,ok,,,,"5 a 10 km","Isoetes luetzelburgii U.Weber",,,,,,,"Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:JBRJ:RB:243069,Ephedraceae,"Ephedra tweediana C.A.Mey.",-32.149598,-52.109681,"google earth",ok,,,,"1 a 5 km","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:JBRJ:RB:263643,Fabaceae,"Mimosa bracteolaris Benth.",0,0,,nok,,,,,"Mimosa bracteolaris Benth.",,,,,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:JBRJ:RB:324470,Poaceae,"Paspalum niquelandiae Filg.",-14.497655,-48.400958,sig,ok,,,,"centroide de municipio","Paspalum niquelandiae Filg.",,,,,,,"Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:JBRJ:RB:45528,Ephedraceae,"Ephedra tweediana C.A.Mey.",0,0,,nok,,,,,"Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:JBRJ:RB:45529,Ephedraceae,"Ephedra tweediana C.A.Mey.",0,0,,nok,,,,,"Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:JBRJ:RB:542423,Poaceae,"Paspalum niquelandiae Filg.",-14.1325,-47.51,coletor,ok,,,,"5 a 10 km","Paspalum niquelandiae Filg.",,,,,,,"Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:JBRJ:RB:587009,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.377691,-51.958766,"google earth",ok,,,,"250 a 1000 m","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:JBRJ:RB:73293,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.278938,-51.021797,"google earth",ok,,,,"10 a 50 km","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:MBM:MBM:144904,Lamiaceae,"Hesperozygis ringens (Benth.) Epling",-30.5122,-53.4914,coletor,ok,,,,"5 a 10 km","Hesperozygis ringens (Benth.) Epling",false,,,yes,,,"Rogerio Braga ; Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:MBM:MBM:180845,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.748433,-52.225356,"google earth",ok,,,,"1 a 5 km","Ephedra tweediana C.A.Mey.",false,,,yes,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:MBM:MBM:183408,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.801853,-52.415214,"google earth",ok,,,," 0 a 250 m","Ephedra tweediana C.A.Mey.",false,,,yes,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:MBM:MBM:301495,Lamiaceae,"Hesperozygis ringens (Benth.) Epling",-28.6678,-50.4167,coletor,ok,,,,"5 a 10 km","Hesperozygis ringens (Benth.) Epling",,,,,,,"Rogerio Braga ; Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:MBM:MBM:386804,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.430738,-51.134881,"google earth",ok,,,,"0 a 250 m","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:MBM:MBM:388751,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.377691,-51.958766,"google earth",ok,,,,"250 a 1000 m","Ephedra tweediana C.A.Mey.",false,,,yes,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:MBM:MBM:391042,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.2872,-51.0936,coletor,ok,,,,"5 a 10 km","Ephedra tweediana C.A.Mey.",false,,,yes,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:MBML:MBML-HERBARIO:7511,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.166279,-50.868834,sig,ok,,,,"centroide de municipio","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:MCN-FZBRS:HAS:73442,Lamiaceae,"Hesperozygis ringens (Benth.) Epling",-29.057396,-49.961951," google earth",ok,,,,"1 a 5 km","Hesperozygis ringens (Benth.) Epling",,,,,,,"Rogerio Braga ; Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:MCN-FZBRS:HAS:81640,Lamiaceae,"Hesperozygis ringens (Benth.) Epling",-29.057396,-49.961951," google earth",ok,,,,"1 a 5 km","Hesperozygis ringens (Benth.) Epling",,,,,,,"Rogerio Braga ; Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:MCN-FZBRS:HAS:85942,Lamiaceae,"Hesperozygis ringens (Benth.) Epling",-30.555167,-53.466817,"google earth",ok,,,,"1 a 5 km","Hesperozygis ringens (Benth.) Epling",,,,,,,"Rogerio Braga ; Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:MCN-FZBRS:HAS:85943,Lamiaceae,"Hesperozygis ringens (Benth.) Epling",-29.5503,-55.1311,coletor,ok,,,,"5 a 10 km","Hesperozygis ringens (Benth.) Epling",,,,,,,"Rogerio Braga ; Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:MCN-FZBRS:HAS:85945,Lamiaceae,"Hesperozygis ringens (Benth.) Epling",-29.5503,-55.1311,coletor,ok,,,,"5 a 10 km","Hesperozygis ringens (Benth.) Epling",,,,,,,"Rogerio Braga ; Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:MCN-FZBRS:HAS:85946,Lamiaceae,"Hesperozygis ringens (Benth.) Epling",-29.5503,-55.1311,coletor,ok,,,,"5 a 10 km","Hesperozygis ringens (Benth.) Epling",,,,,,,"Rogerio Braga ; Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:MCN-FZBRS:HAS:85947,Lamiaceae,"Hesperozygis ringens (Benth.) Epling",-30.5122,-53.4914,coletor,ok,,,,"5 a 10 km","Hesperozygis ringens (Benth.) Epling",,,,,,,"Rogerio Braga ; Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:MCN/FZBRS:HAS:1042,Ephedraceae,"Ephedra tweediana C.A.Mey.",,,,,,,,,"Ephedra tweediana C.A.Mey.",,,,,,,"Luiz Santos Filho",
urn:occurrence:MCN/FZBRS:HAS:1043,Ephedraceae,"Ephedra tweediana C.A.Mey.",,,,,,,,,"Ephedra tweediana C.A.Mey.",,,,,,,"Luiz Santos Filho",
urn:occurrence:MCN/FZBRS:HAS:3236,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.0331,-51.23,,,,,,,"Ephedra tweediana C.A.Mey.",,,,,,,"Luiz Santos Filho",
urn:occurrence:MCN/FZBRS:HAS:3237,Ephedraceae,"Ephedra tweediana C.A.Mey.",,,,,,,,,"Ephedra tweediana C.A.Mey.",,,,,,,"Luiz Santos Filho",
urn:occurrence:MCN/FZBRS:HAS:36203,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.0331,-51.23,,,,,,,"Ephedra tweediana C.A.Mey.",,,,,,,"Luiz Santos Filho",
urn:occurrence:MCN/FZBRS:HAS:3742,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.0811,-51.0233,,,,,,,"Ephedra tweediana C.A.Mey.",,,,,,,"Luiz Santos Filho",
urn:occurrence:MCN/FZBRS:HAS:43258,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.0331,-51.23,,,,,,,"Ephedra tweediana C.A.Mey.",,,,,,,"Luiz Santos Filho",
urn:occurrence:MCN/FZBRS:HAS:537,Ephedraceae,"Ephedra tweediana C.A.Mey.",,,,,,,,,"Ephedra tweediana C.A.Mey.",,,,,,,"Luiz Santos Filho",
urn:occurrence:MCN/FZBRS:HAS:85300,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.0331,-51.23,,,,,,,"Ephedra tweediana C.A.Mey.",,,,,,,"Luiz Santos Filho",
urn:occurrence:MCN/FZBRS:HAS:85301,Ephedraceae,"Ephedra tweediana C.A.Mey.",,,,,,,,,"Ephedra tweediana C.A.Mey.",,,,,,,"Luiz Santos Filho",
urn:occurrence:MCN/FZBRS:HAS:89918,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.2911,-51.3011,,,,,,,"Ephedra tweediana C.A.Mey.",,,,,,,"Luiz Santos Filho",
urn:occurrence:MCN_FZBRS:HAS:1042,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.904981,-52.829548,"google earth",ok,,,," 0 a 250 m","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:MCN_FZBRS:HAS:1043,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.904981,-52.829548,"google earth",ok,,,," 0 a 250 m","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:MCN_FZBRS:HAS:3236,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.246944,-51.106944,"google earth",ok,,,,"1 a 5 km","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:MCN_FZBRS:HAS:3237,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.246944,-51.106944,"google earth",ok,,,,"1 a 5 km","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:MCN_FZBRS:HAS:36203,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.246944,-51.106944,"google earth",ok,,,,"1 a 5 km","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:MCN_FZBRS:HAS:3742,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.278938,-51.021797,"google earth",ok,,,,"5 a 10 km","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:MCN_FZBRS:HAS:43258,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.0331,-51.23,,nok,,,,,"Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
