family,scientificNameWithoutAuthorship,scientificNameAuthorship
BROMELIACEAE,"Quesnelia edmundoi",L.B.Sm.
BROMELIACEAE,"Quesnelia lateralis",Wawra
BROMELIACEAE,"Quesnelia seideliana",L.B.Sm.
BROMELIACEAE,"Tillandsia brachyphylla",Baker
BROMELIACEAE,"Tillandsia carminea",W.Till
BROMELIACEAE,"Tillandsia grazielae","D.Sucre & R.Braga"
BROMELIACEAE,"Tillandsia neglecta",E.Pereira
BROMELIACEAE,"Tillandsia nuptialis","R.Braga & Sucre"
BROMELIACEAE,"Tillandsia organensis",Ehlers
BROMELIACEAE,"Tillandsia reclinata","E.Pereira & Martinelli"
BROMELIACEAE,"Tillandsia roseiflora","Ehlers & W.Weber"
BROMELIACEAE,"Tillandsia sucrei",E.Pereira
BROMELIACEAE,"Tillandsia thiekenii",Ehlers
BROMELIACEAE,"Vriesea altimontana","E.Pereira & Martinelli"
BROMELIACEAE,"Vriesea altomacaensis",A.F.Costa
BROMELIACEAE,"Vriesea atrococcinea",Rauh
BROMELIACEAE,"Vriesea bleherae","Roth & W. Weber"
BROMELIACEAE,"Vriesea botafogensis",Mez
BROMELIACEAE,"Vriesea brassicoides","(Baker) Mez"
BROMELIACEAE,"Vriesea costae","B.R. Silva & Leme"
BROMELIACEAE,"Vriesea croceana","Leme & G.K.Br."
BROMELIACEAE,"Vriesea fidelensis",Leme
BROMELIACEAE,"Vriesea fluminensis",E.Pereira
BROMELIACEAE,"Vriesea fontourae","B.R. Silva"
BROMELIACEAE,"Vriesea fradensis",A.F.Costa
BROMELIACEAE,"Vriesea garlippiana",Leme
BROMELIACEAE,"Vriesea gastiniana","Leme & G.K.Br."
BROMELIACEAE,"Vriesea goniorachis","(Baker) Mez"
BROMELIACEAE,"Vriesea leptantha",Harms
BROMELIACEAE,"Vriesea lidicensis",Reitz
BROMELIACEAE,"Vriesea nubicola",Leme
BROMELIACEAE,"Vriesea pastuchoffiana",Glaz.
BROMELIACEAE,"Vriesea punctulata","E.Pereira & I.A.Penna"
BROMELIACEAE,"Vriesea rubyae",E.Pereira
BROMELIACEAE,"Vriesea saundersii","(Carrière) E.Morren ex Mez"
BROMELIACEAE,"Vriesea serrana","E.Pereira & I.A.Penna"
BROMELIACEAE,"Vriesea sucrei","L.B.Sm. & Read"
BROMELIACEAE,"Vriesea teresopolitana",Leme
BROMELIACEAE,"Vriesea thyrsoidea",Mez
BROMELIACEAE,"Vriesea triligulata",Mez
BROMELIACEAE,"Vriesea vidalii","L.B.Sm. & Handro"
BROMELIACEAE,"Vriesea warmingii",E.Morren
BROMELIACEAE,"Vriesea zildae","R. Moura & A. F. Costa"
BURSERACEAE,"Tetragastris breviacuminata",Swart
CACTACEAE,"Pilosocereus ulei","(K.Schum.) Byles & G.D.Rowley"
CACTACEAE,"Rhipsalis flagelliformis","N.P.Taylor & Zappi"
CACTACEAE,"Rhipsalis mesembryanthemoides",Haw.
CACTACEAE,"Rhipsalis ormindoi","N.P.Taylor & Zappi"
CACTACEAE,"Rhipsalis pentaptera",A.Dietr.
CALOPHYLLACEAE,"Kielmeyera excelsa",Cambess.
CALOPHYLLACEAE,"Kielmeyera gracilis",Wawra
CALOPHYLLACEAE,"Kielmeyera insignis",Saddi
CAMPANULACEAE,"Lobelia glazioviana",Zahlbr.
CAMPANULACEAE,"Lobelia santos-limae",Brade
CAMPANULACEAE,"Siphocampylus viscidus",E.Wimm.
CANELLACEAE,"Cinnamodendron sampaioanum",Occhioni
CAPPARACEAE,"Neocalyptrocalyx eichleriana","(Urb.) Iltis & Cornejo"
CELASTRACEAE,"Maytenus basidentata",Reissek
CELASTRACEAE,"Maytenus samydaeformis",Reissek
CEPHALOZIELLACEAE,"Cylindrocolea brasiliensis","Costa et al."
CHRYSOBALANACEAE,"Couepia parvifolia",Prance
CHRYSOBALANACEAE,"Hirtella barrosoi",Prance
CHRYSOBALANACEAE,"Licania glazioviana",Warm.
CLUSIACEAE,"Clusia fragrans",Gardner
CLUSIACEAE,"Clusia immersa",C.M.Vieira
CLUSIACEAE,"Clusia studartiana","C.M.Vieira & Gomes da Silva"
CLUSIACEAE,"Garcinia calyptrata","(Schltdl.) Bittrich"
COMBRETACEAE,"Terminalia acuminata","(Allemão) Eichler"
COMMELINACEAE,"Dichorisandra fluminensis",Brade
COMMELINACEAE,"Dichorisandra gaudichaudiana",Kunth
COMMELINACEAE,"Dichorisandra nana","Aona & M.C.E.Amaral"
COMMELINACEAE,"Dichorisandra odorata","Aona & M.C.E.Amaral"
COMMELINACEAE,"Dichorisandra oxypetala",Hook.
COMMELINACEAE,"Siderasis fuscata","(Lodd.) H.E.Moore"
CONNARACEAE,"Connarus marginatus",Planch.
CONVOLVULACEAE,"Bonamia umbellata","(Choisy) Hallier f."
CUCURBITACEAE,"Gurania cogniauxiana",Barb.Rodr.
CUCURBITACEAE,"Wilbrandia glaziovii",Cogn.
CYPERACEAE,"Hypolytrum glaziovii",Boeckeler
CYPERACEAE,"Rhynchospora luetzelburgiana",Kük.
CYPERACEAE,"Rhynchospora sampaioana",Gross
CYPERACEAE,"Trilepis tenuis",Vitta
DICHAPETALACEAE,"Stephanopodium sessile",Rizzini
DICRANACEAE,"Dicranoloma brasiliense",Herzog
DILLENIACEAE,"Davilla glaziovii",Eichler
DIOSCOREACEAE,"Dioscorea bradei",R.Knuth
DIOSCOREACEAE,"Dioscorea campanulata","Uline ex R.Knuth"
DIOSCOREACEAE,"Dioscorea itatiaiensis",R.Knuth
DIOSCOREACEAE,"Dioscorea margarethia","G.M.Barroso et al."
DIOSCOREACEAE,"Dioscorea oppositiflora",Griseb.
DIOSCOREACEAE,"Dioscorea organensis",R.Knuth
DIOSCOREACEAE,"Dioscorea pedalis","(Uline ex R. Knuth) R. Couto & J. M. A. Braga"
DIOSCOREACEAE,"Dioscorea pumilio",Griseb.
DIOSCOREACEAE,"Dioscorea septemnervis",Vell.
DIOSCOREACEAE,"Dioscorea sphaeroidea","R. Couto & J. M. A. Braga"
DRYOPTERIDACEAE,"Ctenitis flexuosa","(Fée) Copel."
DRYOPTERIDACEAE,"Elaphoglossum mourae",Brade
ERICACEAE,"Agarista organensis","(Gardner) Hook. ex Nied."
ERICACEAE,"Agarista uleana","(Sleumer) Judd"
ERICACEAE,"Gaylussacia pruinosa",Loes.
ERICACEAE,"Gaylussacia retivenia",Sleumer
ERIOCAULACEAE,"Paepalanthus ovatus",Körn.
ERYTHROXYLACEAE,"Erythroxylum cincinnatum",Mart.
ERYTHROXYLACEAE,"Erythroxylum gaudichaudii",Peyr.
ERYTHROXYLACEAE,"Erythroxylum glazioui",O.E.Schulz
ERYTHROXYLACEAE,"Erythroxylum lancifolium",Peyr.
