family,scientificName,lifeForm,fenology,luminosity,substratum,longevity,resprout
MELASTOMATACEAE,"Leandra saldanhaei",bush,,,terrestrial,,
MELASTOMATACEAE,"Leandra schwackei",herb,,,terrestrial,,
BROMELIACEAE,"Tillandsia thiekenii",herb,,,rupicolous,,
MELASTOMATACEAE,"Leandra sessiliflora",,,,,,
MELASTOMATACEAE,"Leandra sphaerocarpa",bush,,,terrestrial,,
MELASTOMATACEAE,"Leandra tetragona",bush,,,terrestrial,,
BROMELIACEAE,"Billbergia brasiliensis",herb,,,epiphytic,,
FABACEAE,"Bauhinia albicans",bush,,,terrestrial,,
BROMELIACEAE,"Billbergia macracantha",herb,,,epiphytic,,
BROMELIACEAE,"Aechmea cariocae",herb,,,terrestrial,,
BIGNONIACEAE,"Bignonia costata",liana,,,terrestrial,,
BROMELIACEAE,"Aechmea dealbata",herb,,,epiphytic,,
ORCHIDACEAE,"Octomeria cariocana",herb,,,epiphytic,,
BROMELIACEAE,"Aechmea fasciata",herb,,,epiphytic,,
ORCHIDACEAE,"Octomeria cochlearis",herb,,,epiphytic,,
ORCHIDACEAE,"Octomeria fimbriata",herb,,,epiphytic,,
ORCHIDACEAE,"Octomeria helvola",herb,,,epiphytic,,
BIGNONIACEAE,"Fridericia elegans",liana,,,terrestrial,,
BROMELIACEAE,"Aechmea flavorosea",herb,,,epiphytic,,
BROMELIACEAE,"Aechmea grazielae",herb,,,rupicolous,,
BROMELIACEAE,"Aechmea paratiensis",herb,,,epiphytic,,
BROMELIACEAE,"Aechmea prava",herb,,,,,
ORCHIDACEAE,"Octomeria itatiaiae",herb,,,epiphytic,,
BROMELIACEAE,"Aechmea squarrosa",herb,,,epiphytic,,
BIGNONIACEAE,"Jacaranda crassifolia",tree,,,terrestrial,,
BROMELIACEAE,"Alcantarea farneyi",,,,saxicolous,,
BROMELIACEAE,"Alcantarea geniculata",herb,,,rupicolous,,
BROMELIACEAE,"Alcantarea glaziouana",herb,,,rupicolous,,
ORCHIDACEAE,"Octomeria minuta",herb,,,epiphytic,,
BROMELIACEAE,"Alcantarea heloisae",herb,,,rupicolous,,
ORCHIDACEAE,"Octomeria multiflora",herb,,,epiphytic,,
BROMELIACEAE,"Alcantarea martinellii",herb,,heliophytic,rupicolous,,
BROMELIACEAE,"Alcantarea nevaresii",herb,,heliophytic,terrestrial,,
ORCHIDACEAE,"Octomeria pumila",herb,,,epiphytic,,
ORCHIDACEAE,"Octomeria rodeiensis",herb,,,epiphytic,,
ANTHOCEROTACEAE,"Anthoceros lamellatus",,,,terrestrial,,
CEPHALOZIELLACEAE,"Cylindrocolea brasiliensis",,,,,,
DICRANACEAE,"Dicranoloma brasiliense",,,,,,
MELASTOMATACEAE,"Meriania excelsa",tree,,,terrestrial,,
ORCHIDACEAE,"Octomeria rodriguesii",herb,,,epiphytic,,
CHRYSOBALANACEAE,"Hirtella barrosoi",tree,,,terrestrial,,
BROMELIACEAE,"Alcantarea tortuosa",herb,,heliophytic,rupicolous,,
BROMELIACEAE,"Pitcairnia albiflos",herb,,heliophytic,saxicolous,,
ORCHIDACEAE,"Octomeria sarcophylla",herb,,,epiphytic,,
ORCHIDACEAE,"Pabstia placanthera",Array,,,Array,,
CHRYSOBALANACEAE,"Licania glazioviana",tree,,,terrestrial,,
BROMELIACEAE,"Pitcairnia beycalema",herb,,,rupicolous,,
ORCHIDACEAE,"Pabstiella calcarata",Array,,,Array,,
BROMELIACEAE,"Pitcairnia corcovadensis",herb,,,rupicolous,,
ORCHIDACEAE,"Pabstiella crassicaulis",herb,,,epiphytic,,
ORCHIDACEAE,"Pabstiella elegantula",Array,,,Array,,
BROMELIACEAE,"Pitcairnia encholirioides",,,,,,
ORCHIDACEAE,"Pabstiella gracilicaulis",herb,,,epiphytic,,
BROMELIACEAE,"Pitcairnia insularis",herb,,,rupicolous,,
ORCHIDACEAE,"Pabstiella spathuliglossa",herb,,,epiphytic,,
ORCHIDACEAE,"Pabstiella tabacina",herb,,,epiphytic,,
MELASTOMATACEAE,"Meriania glazioviana",tree,,,terrestrial,,
CALOPHYLLACEAE,"Kielmeyera excelsa",tree,,,terrestrial,,
MELASTOMATACEAE,"Meriania longipes",tree,,,terrestrial,,
BROMELIACEAE,"Pitcairnia staminea",herb,,,rupicolous,,
BROMELIACEAE,"Pitcairnia suaveolens",herb,,,rupicolous,,
MARCGRAVIACEAE,"Marcgravia comosa",liana,,,terrestrial,,
BROMELIACEAE,"Pitcairnia wendtiae",herb,,heliophytic,rupicolous,,
ORCHIDACEAE,"Pelexia longibracteata",herb,,,terrestrial,,
ORCHIDACEAE,"Pelexia luetzelburgii",herb,,,terrestrial,,
SPHAGNACEAE,"Sphagnum luetzelburgii",,,,terrestrial,,
BROMELIACEAE,"Vriesea agostiniana",herb,,,epiphytic,,
SPHAGNACEAE,"Sphagnum scorpioides",,,,terrestrial,,
FABACEAE,"Inga arenicola",tree,,,terrestrial,,
MELASTOMATACEAE,"Meriania robusta",Array,,,Array,,
SPHAGNACEAE,"Sphagnum subhomophyllum",,,,terrestrial,,
LEJEUNEACEAE,"Colura itatyana",,,,rupicolous,,
SELIGERIACEAE,"Brachydontium notorogenes",,,,terrestrial,,
SPHAGNACEAE,"Sphagnum amoenum",,,,terrestrial,,
FABACEAE,"Inga enterolobioides",tree,,,terrestrial,,
MARCGRAVIACEAE,"Souroubea platyadenia",liana,,,terrestrial,,
ORCHIDACEAE,"Pelexia mouraei",herb,,,terrestrial,,
BROMELIACEAE,"Vriesea altimontana",herb,,heliophytic,rupicolous,,
ORCHIDACEAE,"Phymatidium limae",herb,,,epiphytic,,
ORCHIDACEAE,"Pleurothallis jacarepaguaensis",herb,,,epiphytic,,
CALOPHYLLACEAE,"Kielmeyera gracilis",Array,,,Array,,
SPHAGNACEAE,"Sphagnum triporosum",,,,rupicolous,,
BROMELIACEAE,"Vriesea altomacaensis",herb,,heliophytic,terrestrial,,
CALOPHYLLACEAE,"Kielmeyera insignis",Array,,,Array,,
MELASTOMATACEAE,"Miconia augusti",Array,,,Array,,
BROMELIACEAE,"Vriesea atrococcinea",Array,,,Array,,
BROMELIACEAE,"Vriesea bleherae",Array,,,Array,,
BROMELIACEAE,"Vriesea botafogensis",Array,,Array,Array,,
CALOPHYLLACEAE,"Kielmeyera rizziniana",Array,,,Array,,
BROMELIACEAE,"Vriesea brassicoides",Array,,,Array,,
BROMELIACEAE,"Vriesea costae",Array,,Array,Array,,
BROMELIACEAE,"Vriesea croceana",Array,,,Array,,
