family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
BEGONIACEAE,"Begonia herteri",Irmsch.,"Begonia herteri Irmsch."
BEGONIACEAE,"Begonia jocelinoi",Brade,"Begonia jocelinoi Brade"
BEGONIACEAE,"Begonia lanstyakii",Brade,"Begonia lanstyakii Brade"
BEGONIACEAE,"Begonia lubbersii",E.Morren,"Begonia lubbersii E.Morren"
BEGONIACEAE,"Begonia lunaris",E.L.Jacques,"Begonia lunaris E.L.Jacques"
BEGONIACEAE,"Begonia magdalenensis",Brade,"Begonia magdalenensis Brade"
BEGONIACEAE,"Begonia occhionii",Brade,"Begonia occhionii Brade"
BEGONIACEAE,"Begonia olsoniae","L.B.Sm. & B.G.Schub.","Begonia olsoniae L.B.Sm. & B.G.Schub."
BEGONIACEAE,"Begonia parvifolia",Schott,"Begonia parvifolia Schott"
BEGONIACEAE,"Begonia princeps",A.DC.,"Begonia princeps A.DC."
BEGONIACEAE,"Begonia pseudolubbersii",Brade,"Begonia pseudolubbersii Brade"
BEGONIACEAE,"Begonia ramentacea",Paxton,"Begonia ramentacea Paxton"
BEGONIACEAE,"Begonia rotunda",Vell.,"Begonia rotunda Vell."
BEGONIACEAE,"Begonia rubropilosa",A.DC.,"Begonia rubropilosa A.DC."
BEGONIACEAE,"Begonia sanguinea",Raddi,"Begonia sanguinea Raddi"
BEGONIACEAE,"Begonia semidigitata",Brade,"Begonia semidigitata Brade"
BEGONIACEAE,"Begonia valida",Goebel,"Begonia valida Goebel"
BEGONIACEAE,"Begonia velloziana",Walp.,"Begonia velloziana Walp."
BIGNONIACEAE,"Adenocalymma bullatum","Bureau & K.Schum.","Adenocalymma bullatum Bureau & K.Schum."
BIGNONIACEAE,"Bignonia costata","(Bureau & K.Schum.) L.G.Lohmann","Bignonia costata (Bureau & K.Schum.) L.G.Lohmann"
BIGNONIACEAE,"Fridericia elegans","(Vell.) L.G.Lohmann","Fridericia elegans (Vell.) L.G.Lohmann"
BIGNONIACEAE,"Jacaranda crassifolia",Morawetz,"Jacaranda crassifolia Morawetz"
BORAGINACEAE,"Varronia leucomalla","(Taub.) Borhidi","Varronia leucomalla (Taub.) Borhidi"
BROMELIACEAE,"Aechmea caesia","E.Morren ex Baker","Aechmea caesia E.Morren ex Baker"
BROMELIACEAE,"Aechmea cariocae",L.B.Sm.,"Aechmea cariocae L.B.Sm."
