occurrenceID,family,familyAccepted,acceptedNameUsage,acceptedNameUsageWithoutAuthorship,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
25743,Poaceae,Poaceae,"Glaziophyton mirabile Franch.","Glaziophyton mirabile",-22.594979,-43.487419,"google earth",ok,,,,"1 a 5 km","Glaziophyton mirabile Franch.",true,valid,no,no,native,valid,"Tomás Amorim ; LILIANA ESSI ; Victor Menezes ; Rodrigo Amaro",
2584809,Fabaceae,FABACEAE,"Bauhinia albicans Vogel","Bauhinia albicans",,,,,,,,,"Bauhinia albicans Vogel",,,,,,,"Lucas Moulton",
2593132,Asteraceae,ASTERACEAE,"Dasyphyllum leptacanthum (Gardner) Cabrera","Dasyphyllum leptacanthum",,,,,,,,,"Dasyphyllum leptacanthum (Gardner) Cabrera",,,,,,,"Lucas Moraes",
2593133,Asteraceae,ASTERACEAE,"Dasyphyllum leptacanthum (Gardner) Cabrera","Dasyphyllum leptacanthum",,,,,,,,,"Dasyphyllum leptacanthum (Gardner) Cabrera",,,,,,,"Lucas Moraes",
2593134,Asteraceae,ASTERACEAE,"Dasyphyllum leptacanthum (Gardner) Cabrera","Dasyphyllum leptacanthum",,,,,,,,,"Dasyphyllum leptacanthum (Gardner) Cabrera",,,,,,,"Lucas Moraes",
2596307,Asteraceae,ASTERACEAE,"Baccharis bifrons Baker","Baccharis bifrons",,,,,,,,,"Baccharis bifrons Baker",,,,,,,"Lucas Moraes",
3375761.2495214,Begoniaceae,BEGONIACEAE,"Begonia olsoniae L.B.Sm. & B.G.Schub.","Begonia olsoniae",,,,,,,,,"Begonia olsoniae L.B.Sm. & B.G.Schub.",,,,,,,"Lucas Moraes",
36524,Poaceae,Poaceae,"Glaziophyton mirabile Franch.","Glaziophyton mirabile",-22.531111,-43.105833,"google earth",ok,,,,"250 a 1000 m","Glaziophyton mirabile Franch.",true,valid,no,no,native,valid,"Tomás Amorim ; LILIANA ESSI ; Victor Menezes ; Rodrigo Amaro",
4.47382876363E11,Rubiaceae,RUBIACEAE,"Psychotria wilkesiana Standl.","Psychotria wilkesiana",,,,,,,,,"Psychotria wilkesiana Standl.",,,,,,,"Raquel Negrão",
566f8951-516b-4c98-a6ed-0969ad09e5de,Rubiaceae,RUBIACEAE,"Psychotria caudata M.Gomes","Psychotria caudata",,,,,,,,,"Psychotria caudata M.Gomes",,,,,,,"Raquel Negrão",
6.720110063027E12,Rubiaceae,RUBIACEAE,"Rudgea macrophylla Benth.","Rudgea macrophylla",,,,,,,,,"Rudgea macrophylla Benth.",,,,,,,"Raquel Negrão",
625086,Fabaceae,FABACEAE,"Machaerium legale (Vell.) Benth.","Machaerium legale",,,,,,,,,"Machaerium legale (Vell.) Benth.",,,,,,,"Lucas Moulton",
626823,Fabaceae,FABACEAE,"Piptadenia polyptera Benth.","Piptadenia polyptera",,,,,,,,,"Piptadenia polyptera Benth.",,,,,,,"Lucas Moulton",
628418,Fabaceae,FABACEAE,"Mimosa itatiaiensis Dusén","Mimosa itatiaiensis",,,,,,,,,"Mimosa itatiaiensis Dusén",,,,,,,"Lucas Moulton",
65125aef-c153-4d11-8817-346e95adf9fd,Myrtaceae,MYRTACEAE,"Calyptranthes caudata Gardner","Calyptranthes caudata",0,0,,nok,"Fernanda Wimmer",,,,"Calyptranthes caudata Gardner",true,,,,,,"Fernanda Wimmer ; Lucas Moulton",
700347,Begoniaceae,BEGONIACEAE,"Begonia sanguinea Raddi","Begonia sanguinea",,,,,,,,,"Begonia sanguinea Raddi",,,,,,,"Lucas Moraes",
700348,Begoniaceae,BEGONIACEAE,"Begonia sanguinea Raddi","Begonia sanguinea",,,,,,,,,"Begonia sanguinea Raddi",,,,,,,"Lucas Moraes",
700353,Begoniaceae,BEGONIACEAE,"Begonia parvifolia Schott","Begonia parvifolia",,,,,,,,,"Begonia parvifolia Schott",,,,,,,"Lucas Moraes",
74025.10062950,Rubiaceae,RUBIACEAE,"Manettia fimbriata Cham. & Schltdl.","Manettia fimbriata",,,,,,,,,"Manettia fimbriata Cham. & Schltdl.",,,,,,,"Raquel Negrão",
78b7d033-650c-4ac7-a0cd-e35dcfcdc0d0,Lauraceae,LAURACEAE,"Beilschmiedia angustifolia Kosterm.","Beilschmiedia angustifolia",0,0,,,,,,,"Beilschmiedia angustifolia Kosterm.",,,,,,,"Rogerio Braga ; Raquel Negrão",
"7; 8",Neoregelia,BROMELIACEAE,"Neoregelia macwilliamsii L.B.Sm.","Neoregelia macwilliamsii",,,,,,,,,"Neoregelia macwilliamsii L.B.Sm.",,,,,,,"Rodrigo Amaro",
87bba818-56be-42d5-908a-3919b2a83af5,Fabaceae,FABACEAE,"Moldenhawera polysperma (Vell.) Stellfeld","Moldenhawera polysperma",,,,,,,,,"Moldenhawera polysperma (Vell.) Stellfeld",,,,,,,"Lucas Moulton",
8c24c62c-b281-4a46-b265-b70438029075,Fabaceae,FABACEAE,"Lupinus dusenianus C.P.Sm.","Lupinus dusenianus",-10.77311,-53.08982,,,,,,,"Lupinus dusenianus C.P.Sm.",,,,,,,"Lucas Moulton",
9,Neoregelia,BROMELIACEAE,"Neoregelia martinellii W.Weber","Neoregelia martinellii",,,,,,,,,"Neoregelia martinellii W.Weber",,,,,,,"Rodrigo Amaro",
92f77b42-8cfe-4537-a762-c36bb3dc7e6d,Myrtaceae,MYRTACEAE,"Eugenia augustana Kiaersk.","Eugenia augustana",-15.952,-47.93495,coletor,ok,"Fernanda Wimmer",,,,"Eugenia augustana Kiaersk.",true,,,,,,"Fernanda Wimmer ; Lucas Moulton",
BRA:CEPLAC:CEPEC:0000080834,Rubiaceae,RUBIACEAE,"Rudgea macrophylla Benth.","Rudgea macrophylla",,,,,,,,,"Rudgea macrophylla Benth.",,,,,,,"Raquel Negrão",
BRA:CEPLAC:CEPEC:0000132504,Rubiaceae,RUBIACEAE,"Faramea calyciflora A.Rich. ex DC.","Faramea calyciflora",-20.0975,-40.42889,,,,,,,"Faramea calyciflora A.Rich. ex DC.",,,,,,,"Raquel Negrão",
BRA:CEPLAC:CEPEC:0000132515,Rubiaceae,RUBIACEAE,"Faramea calyciflora A.Rich. ex DC.","Faramea calyciflora",-20.10306,-40.44833,,,,,,,"Faramea calyciflora A.Rich. ex DC.",,,,,,,"Raquel Negrão",
BRA:CEPLAC:CEPEC:0000132824,Rubiaceae,RUBIACEAE,"Faramea calyciflora A.Rich. ex DC.","Faramea calyciflora",-20.09389,-40.43167,,,,,,,"Faramea calyciflora A.Rich. ex DC.",,,,,,,"Raquel Negrão",
BRA:CVRD:CVRD:0000009354,Clusiaceae,CALOPHYLLACEAE,"Kielmeyera excelsa Cambess.","Kielmeyera excelsa",-19.822806,-41.187474,sig,ok,"Fernanda Wimmer",,,"centroide de municipio","Kielmeyera excelsa Cambess.",true,,,,,,"Fernanda Wimmer ; Marta Moraes",
BRA:CVRD:CVRD:0000014283,Clusiaceae,CALOPHYLLACEAE,"Kielmeyera excelsa Cambess.","Kielmeyera excelsa",-18.136763,-40.267609,sig,ok,"Fernanda Wimmer",,,"centroide de municipio","Kielmeyera excelsa Cambess.",true,,,,,,"Fernanda Wimmer ; Marta Moraes",
BRA:ESALQ:ESA:0000111743,Begoniaceae,BEGONIACEAE,"Begonia ramentacea Paxton","Begonia ramentacea",,,,,,,,,"Begonia ramentacea Paxton",,,,,,,"Lucas Moraes",
