family,scientificName,use,resource,details,references
BROMELIACEAE,"Aechmea flavorosea","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Aechmea grazielae","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Aechmea paratiensis","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Aechmea prava","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Aechmea squarrosa","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Alcantarea farneyi","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
CLUSIACEAE,"Clusia immersa","17. Unknown",,"Nenhum uso econômico ou tradicional é dado a essa espécie.",
CLUSIACEAE,"Clusia studartiana","17. Unknown",,"Nenhum uso econômico ou tradicional é dado a essa espécie.",
CLUSIACEAE,"Garcinia calyptrata","17. Unknown",,"Não foi encontrado nenhum uso desta espécie na bibliografia consultada.",
BROMELIACEAE,"Alcantarea geniculata","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Alcantarea glaziouana","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Alcantarea heloisae","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012). A espécie é explorada para cultivos em praças e jardins (Versieux e Wanderley, 2015).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p.;Versieux, L. M. ; Wanderley, M.G.L. . Bromélias-gigantes do Brasil. 1. ed. Natal: Capim Macio & Offset, 2015. v. 1. 200p."
BROMELIACEAE,"Alcantarea martinellii","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Alcantarea nevaresii","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Alcantarea tortuosa","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Pitcairnia albiflos","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
DILLENIACEAE,"Davilla glaziovii","3. Medicine - human and veterinary",stalk,"O caule da espécie é utilizado para fins medicinais, sendo comercializado em regiões vizinhas a sua área de ocorrência como ""cipó-de-santa-luzia"" (Fraga, 2012).","Fraga, C.N. 2012. Filogenia e Revisão Taxonômica de Davilla Vand. (Dilleniaceae). Tese de Doutorado. Belo Horizonte: Universidade Federal de Minas Gerais, MG."
TRIGONIACEAE,"Trigonia littoralis","17. Unknown",,"Não se conhece nenhum uso descrito para esta planta.",
TRIGONIACEAE,"Trigonia rotundifolia","17. Unknown",,"Não existe nenhum uso descrito para esta espécie nas bibliografias consultadas.",
BROMELIACEAE,"Pitcairnia beycalema","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Pitcairnia corcovadensis","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Pitcairnia encholirioides","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Pitcairnia insularis","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Pitcairnia staminea","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Pitcairnia suaveolens","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Pitcairnia wendtiae","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
FABACEAE,"Machaerium firmum","9. Construction/structural materials",stalk,"O gênero botânico Machaerium tem mais de 30 espécies produtoras de boas madeiras, razão da grande desordem entre os nomes comerciais (Gonzaga, 2006)","Gonzaga, A.L. Madeira: Uso e Conservação. IPHAN - MONUMENTA. 2006"
BROMELIACEAE,"Vriesea altimontana","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea altomacaensis","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea atrococcinea","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea bleherae","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea botafogensis","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea brassicoides","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea costae","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea croceana","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea fidelensis","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea fluminensis","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea fontourae","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea fradensis","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
FABACEAE,"Machaerium legale","9. Construction/structural materials",stalk,"Vellozo (1881) ressaltou o hábito arbóreo e características da madeira, muito pesada e considerada “de lei”. ","Vellozo, J. M. da C. 1881. Florae Fluminensis. Archivos do Museu Nacional do Rio de Janeiro 5: 1-461."
BROMELIACEAE,"Vriesea garlippiana","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea gastiniana","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea goniorachis","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea leptantha","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea lidicensis","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea nubicola","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea pastuchoffiana","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea punctulata","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea rubyae","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea saundersii","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
MYRTACEAE,"Calyptranthes aromatica","1. Food - human",flower," As flores e botões florais podem ser utilizados como substituto do cravo-da-índia (e-jardim.com: mudas de plantas frutíferas, 2008).","e-jardim.com: mudas de plantas frutíferas. 2008. Plantas Úteis, Calyptranthes aromatica / cravo-da-terra. Disponível em <http://www.e-jardim.com/produto_completo.asp?IDProduto=152>. Acesso em 13 abril 2015."
MYRTACEAE,"Calyptranthes aromatica","3. Medicine - human and veterinary",leaf,"As folhas e a casca são utilizadas como vermífugo e antiespasmódico (e-jardim.com: mudas de plantas frutíferas, 2008).","e-jardim.com: mudas de plantas frutíferas. 2008. Plantas Úteis, Calyptranthes aromatica / cravo-da-terra. Disponível em <http://www.e-jardim.com/produto_completo.asp?IDProduto=152>. Acesso em 13 abril 2015."
BROMELIACEAE,"Vriesea serrana","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea sucrei","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea teresopolitana","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
CACTACEAE,"Schlumbergera russelliana","13. Pets/display animals, horticulture","whole plant","Muito cultivada como planta ornamental, porém dificilmente consegue se manter (Taylor & Zappi 2013).","Taylor, N.P. & Zappi, D. 2013. Schlumbergera russelliana. The IUCN Red List of Threatened Species. Version 2014.3. <www.iucnredlist.org>. Downloaded on 13 April 2015."
MELIACEAE,"Trichilia luciae","17. Unknown",,"Nãom existem dados oficiais a respeito da utilização de T. luciae; entretanto, espécies do gênero são amplamente utilizadas na medicina popular (caso de Trichilia catigua A. Juss.) e também como madeira de lei amplamente utilizada pela construção civíl.",
BROMELIACEAE,"Vriesea thyrsoidea","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).
","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
APOCYNACEAE,"Aspidosperma compactinervium","9. Construction/structural materials","whole plant","A espécie é utilizada por populações caiçaras na construção de estruturas em madeira (Diegues, 1994).","DIEGUES, A.C., 1994. THE MATA ATLANTICA BIOSPHERE RESERVE (RBMA): AN OVERVIEW."
BROMELIACEAE,"Vriesea triligulata","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea vidalii","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Vriesea warmingii","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
MYRTACEAE,"Campomanesia hirsuta","1. Food - human",fruit,"A espécie apresenta frutos grandes, de sabor ácido. Gardner (1843) reportou o uso da espécie no preparo de geleias, por famílias residentes próximo a Serra dos órgãos.","e-jardim.com: mudas de plantas frutíferas. 2008. Plantas Úteis, Campomanesia hirsuta / guabiroba-peluda-gigante. Disponível em <http://www.e-jardim.com/produto_completo.asp?IDProduto=139>. Acesso em 14 abril 2015."
MARANTACEAE,"Thalia petersiana","17. Unknown",,,
BROMELIACEAE,"Vriesea zildae","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
MARANTACEAE,"Goeppertia dorothyae","17. Unknown",,,
MARANTACEAE,"Goeppertia fatimae","13. Pets/display animals, horticulture","whole plant","A espécie possui potencial uso paisagistico e horticultural.",
MARANTACEAE,"Goeppertia grazielae","13. Pets/display animals, horticulture","whole plant","A espécie possui potencial uso paisagistico e horticultural.",
MARANTACEAE,"Goeppertia reginae","13. Pets/display animals, horticulture","whole plant","A espécie possui grande valor ornamental e pode ser utilizada para compor o paisagismo de jardins tropicais, conforme reportado em Braga (2008) com a subpopulação do Morro Mundo Novo, transplantada de seu habitat para um canteiro dentro do campus da Universidade Santa Úrsula.","Braga, J.M.A. 2008. Two new species of Calathea (Marantaceae) from South-eastern Brazil. Kew Bulletin. 63: 309–314"
MARANTACEAE,"Goeppertia sphaerocephala","13. Pets/display animals, horticulture","whole plant","A espécie possui potencial uso paisagistico e horticultural.",
LOGANIACEAE,"Strychnos dantaensis","3. Medicine - human and veterinary",stalk,"S. dantaensis não possui nenhum uso descrito até o momento. Entretanto, congêneres sulamericanas são amplamente utilizadas por povos ameríndios, que utilizam extratos feitos com a casca destas plantas (curare) (","Krukoff, B. A., J. Monachino. 1942. The American species of Strychnos. Brittonia 4: 248–322.;Manoel, E.A., Carrijo, T.T., Guimarães, E.F. 2012. A new species of Strychnos sect. longiflorae (Loganiaceae). Systematic Botany, 37(1):254-257."
LOGANIACEAE,"Strychnos jacarepiensis","3. Medicine - human and veterinary",stalk,"não possui nenhum uso descrito até o momento. Entretanto, congêneres sulamericanas são amplamente utilizadas por povos ameríndios, que utilizam extratos feitos com a casca destas plantas (curare) (Krukoff e Monachio, 1942; Manoel et al., 2012).","Krukoff, B. A., J. Monachino. 1942. The American species of Strychnos. Brittonia 4: 248–322.;Manoel, E.A., Carrijo, T.T., Guimarães, E.F. 2012. A new species of Strychnos sect. longiflorae (Loganiaceae). Systematic Botany, 37(1):254-257."
GESNERIACEAE,"Besleria melancholica","13. Pets/display animals, horticulture","whole plant","Segundo registro de coleta, a espécie possui valor ornamental (E.R. Salviani et al. 1160).",
