family,scientificName,use,resource,details,references
EUPHORBIACEAE,"Sebastiania pteroclada","17. Unknown",,,
BROMELIACEAE,"Tillandsia reclinata","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
CACTACEAE,"Rhipsalis pentaptera","13. Pets/display animals, horticulture","whole plant","A espécie é amplamente cultivada como planta ornamental (Taylor & Zappi 2013).","Taylor, N.P. & Zappi, D. 2013. Rhipsalis pentaptera. The IUCN Red List of Threatened Species. Version 2014.3. <www.iucnredlist.org>. Downloaded on 13 April 2015."
BROMELIACEAE,"Tillandsia roseiflora","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","	Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
FABACEAE,"Aeschynomene bradei","6. Other chemicals",stalk,"A espécie apresenta um pedido de patente por uso químico: fragrância, inseticida, fungicida ou farmacêutico (Litten-Brown & Shaukat, 2010).","Litten-Brown, C., Shaukat, A.F., 2010. Liquid Transfer And Evaporation Device And Wicks Therefor. U.S. Patent Application 12/614,088."
BROMELIACEAE,"Tillandsia sucrei","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Tillandsia thiekenii","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Billbergia brasiliensis","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Billbergia macracantha","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
Amaryllidaceae,"Worsleya procera","13. Pets/display animals, horticulture","whole plant","A espécie foi coletada indiscriminadamente para fins comerciais (Martinelli, 1984).","Martinelli, G., 1984. Nota sobre Worsleya rayneri (JD Hooker) Traub & Moldenke, espécie ameaçada de extinção. Rodriguésia 65–71."
BROMELIACEAE,"Aechmea cariocae","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Aechmea dealbata","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Aechmea fasciata","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
