family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria
ASTERACEAE,"Piptocarpha verticillata","(Vell.) G.Lom.Sm. ex H.Rob.",review,review,EN,"B2ab(i,iii)"
ASTERACEAE,"Senecio arctiifolius",Baker,review,open,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
ASTERACEAE,"Senecio malacophyllus",Dusén,review,,,
ASTERACEAE,"Senecio ramentaceus",Baker,review,,,
ASTERACEAE,"Stevia dubia",B.L.Rob.,review,review,DD,
ASTERACEAE,"Stevia organensis",Gardner,review,review,EN,"B1ab(i,ii,iii,iv,v)+2b(i,ii,iii,iv,v)"
ASTERACEAE,"Stevia verticillata",Schltdl.,review,review,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
ASTERACEAE,"Trichogoniopsis podocarpa","(DC.) R.M.King & H.Rob.",review,review,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
ASTERACEAE,"Wunderlichia insignis",Baill.,review,review,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
BEGONIACEAE,"Begonia acetosa",Vell.,validation,,,
BEGONIACEAE,"Begonia acida",Vell.,validation,,,
BEGONIACEAE,"Begonia aconitifolia",A.DC.,validation,,,
BEGONIACEAE,"Begonia antonietae",Brade,validation,,,
BEGONIACEAE,"Begonia cariocana","Brade ex L.B.Sm. & Wassh.",validation,,,
BEGONIACEAE,"Begonia cerasiphylla","L.B.Sm. & Wassh.",validation,,,
BEGONIACEAE,"Begonia collaris",Brade,validation,,,
BEGONIACEAE,"Begonia concinna",Schott,validation,,,
BEGONIACEAE,"Begonia cordata",Vell.,validation,,,
BEGONIACEAE,"Begonia declinata",Vell.,validation,,,
BEGONIACEAE,"Begonia densifolia",Irmsch.,validation,,,
BEGONIACEAE,"Begonia dentatiloba",A.DC.,validation,,,
BEGONIACEAE,"Begonia depauperata",Schott,validation,,,
BEGONIACEAE,"Begonia edmundoi",Brade,validation,,,
BEGONIACEAE,"Begonia epipsila",Brade,validation,,,
BEGONIACEAE,"Begonia erecta",Vell.,validation,,,
BEGONIACEAE,"Begonia fabulosa","L.B.Sm. & Wassh.",validation,,,
BEGONIACEAE,"Begonia fagifolia","Otto & A.Dietr.",validation,,,
BEGONIACEAE,"Begonia fluminensis",Brade,validation,,,
BEGONIACEAE,"Begonia forgetiana",Hemsl.,validation,,,
BEGONIACEAE,"Begonia friburgensis",Brade,validation,,,
BEGONIACEAE,"Begonia jocelinoi",Brade,validation,,,
BEGONIACEAE,"Begonia lanstyakii",Brade,validation,,,
BEGONIACEAE,"Begonia lubbersii",E.Morren,validation,,,
