family,scientificName,threat,incidence,timing,decline
LAURACEAE,"Ocotea abbreviata","7.1.1 Increase in fire frequency/intensity",local,past;present;future,locality;habitat;occupancy;occurrence
LAURACEAE,"Ocotea abbreviata","1.3 Tourism & recreation areas",regional,present;future,habitat
ASTERACEAE,"Austrocritonia taunayana","8.2.2 Named species",local,past;present;future,occupancy
ASTERACEAE,"Austrocritonia taunayana","1.3 Tourism & recreation areas",local,past;present;future,locality;habitat;occupancy;occurrence
ASTERACEAE,"Austrocritonia taunayana","1.3 Tourism & recreation areas",local,past;present;future,habitat;occurrence
ASTERACEAE,"Austrocritonia taunayana","7.1.1 Increase in fire frequency/intensity",local,past;present;future,"locality;habitat;occupancy;occurrence;mature individuals"
ORCHIDACEAE,"Acianthera subrotundifolia","2.1.2 Small-holder farming",,,
COMMELINACEAE,"Dichorisandra nana","1.1 Housing & urban areas",regional,past;present,habitat;occurrence
COMMELINACEAE,"Dichorisandra nana","2.3 Livestock farming & ranching",regional,past;present,habitat;occurrence
SOLANACEAE,"Solanum friburgense","1.3 Tourism & recreation areas",regional,present,
SOLANACEAE,"Solanum friburgense","1.1 Housing & urban areas",regional,present,habitat
SOLANACEAE,"Capsicum friburgense","1.1 Housing & urban areas",regional,present,
BROMELIACEAE,"Neoregelia carinata","1.1 Housing & urban areas",local,past;present,"locality;habitat;occupancy;occurrence;mature individuals"
BROMELIACEAE,"Neoregelia carinata","2.1.4 Scale Unknown/Unrecorded",local,past;present;future,"habitat;occupancy;occurrence;mature individuals"
ORCHIDACEAE,"Anathallis lichenophila","1.1 Housing & urban areas",regional,past,habitat;occurrence
ORCHIDACEAE,"Anathallis lichenophila","4.1 Roads & railroads",regional,past,habitat;occurrence
ORCHIDACEAE,"Anathallis lichenophila","1.2 Commercial & industrial areas",regional,past,habitat
BROMELIACEAE,"Neoregelia coimbrae","1.3 Tourism & recreation areas",local,past;present;future,habitat;locality
BROMELIACEAE,"Neoregelia coimbrae","2.3.4 Scale Unknown/Unrecorded",local,past;present;future,"locality;habitat;occupancy;occurrence;mature individuals"
ORCHIDACEAE,"Anathallis pubipetala","2.1.2 Small-holder farming",regional,past,habitat;occurrence
ORCHIDACEAE,"Anathallis pubipetala","2.3.2 Small-holder grazing, ranching or farming",regional,past,habitat;occurrence
ORCHIDACEAE,"Anathallis pubipetala","1.3 Tourism & recreation areas",regional,present,habitat
ORCHIDACEAE,"Anathallis pubipetala","1.1 Housing & urban areas",regional,present,habitat;occurrence
ORCHIDACEAE,"Anathallis rubrolimbata","2.1.2 Small-holder farming",regional,past,habitat;occurrence
ORCHIDACEAE,"Anathallis rubrolimbata","2.3.2 Small-holder grazing, ranching or farming",regional,past,habitat;occurrence
ORCHIDACEAE,"Anathallis rubrolimbata","1.3 Tourism & recreation areas",regional,present,habitat
ORCHIDACEAE,"Anathallis rubrolimbata","1.1 Housing & urban areas",regional,present,habitat;occurrence
BROMELIACEAE,"Neoregelia coriacea","7.1.1 Increase in fire frequency/intensity",local,past;present,"habitat;occupancy;occurrence;mature individuals;locality"
BROMELIACEAE,"Neoregelia coriacea","1.1 Housing & urban areas",,,
COMMELINACEAE,"Siderasis fuscata","5.2.1 Intentional use (species being assessed is the target)",regional,past;present,"mature individuals"
COMMELINACEAE,"Dichorisandra oxypetala","1.1 Housing & urban areas",regional,past;present,habitat;occurrence
COMMELINACEAE,"Dichorisandra gaudichaudiana","1.1 Housing & urban areas",regional,past;present,habitat;occurrence
COMMELINACEAE,"Dichorisandra gaudichaudiana","1.3 Tourism & recreation areas",regional,present,habitat
COMMELINACEAE,"Dichorisandra gaudichaudiana","8.1 Invasive non-native/alien species/diseases",regional,present,habitat
COMMELINACEAE,"Dichorisandra gaudichaudiana","1.2 Commercial & industrial areas",regional,past;present,habitat
BROMELIACEAE,"Neoregelia correia-araujoi","2.1 Annual & perennial non-timber crops",local,past;present,"locality;habitat;occurrence;occupancy;mature individuals"
BROMELIACEAE,"Neoregelia desenganensis","2.3.4 Scale Unknown/Unrecorded",,,
BROMELIACEAE,"Neoregelia eltoniana","1.1 Housing & urban areas",local,past;present;present,"locality;habitat;occupancy;occurrence;mature individuals"
CANELLACEAE,"Cinnamodendron sampaioanum","1.1 Housing & urban areas",local,past;present,habitat;occupancy
CANELLACEAE,"Cinnamodendron sampaioanum","10.3 Avalanches/landslides",local,past;present;future,habitat;occupancy
CELASTRACEAE,"Maytenus basidentata","1 Residential & commercial development",local,past;present,
ACANTHACEAE,"Justicia itatiaiensis","2.1.2 Small-holder farming",local,past,locality;habitat;occupancy
ACANTHACEAE,"Justicia itatiaiensis","7.1.1 Increase in fire frequency/intensity",local,past;present;future,locality;habitat;occupancy;occurrence
BROMELIACEAE,"Neoregelia fluminensis","2.1.2 Small-holder farming",local,past;present,"habitat;occupancy;occurrence;mature individuals"
BROMELIACEAE,"Neoregelia fluminensis","2.3.2 Small-holder grazing, ranching or farming",local,past;present,"habitat;occupancy;occurrence;mature individuals"
BROMELIACEAE,"Neoregelia fluminensis","1.3 Tourism & recreation areas",local,present;future,
BROMELIACEAE,"Neoregelia fluminensis","1.1 Housing & urban areas",regional,past;present;future,"locality;habitat;occupancy;occurrence;mature individuals"
ACANTHACEAE,"Justicia nervata","7.1.1 Increase in fire frequency/intensity",regional,past;present;future,locality;habitat
ACANTHACEAE,"Justicia nervata","2.1.2 Small-holder farming",regional,past,locality;habitat;occupancy;occurrence
ACANTHACEAE,"Justicia nervata","2.3.2 Small-holder grazing, ranching or farming",regional,past;present;future,locality;habitat;occupancy;occurrence
