family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria,rationale
BROMELIACEAE,"Dyckia pseudococcinea",L.B.Sm.,validation,,,,
BROMELIACEAE,"Neoregelia abendrothae",L.B.Sm.,review,,,,
BROMELIACEAE,"Neoregelia bragarum","(E.Pereira & L.B.Sm.) Leme",review,,,,
BROMELIACEAE,"Neoregelia camorimiana","E.Pereira & I.A.Penna",review,,,,
BROMELIACEAE,"Neoregelia carinata",Leme,review,,,,
BROMELIACEAE,"Neoregelia coimbrae","E.Pereira & Leme",review,,,,
BROMELIACEAE,"Neoregelia coriacea","(Antoine) L.B.Sm.",review,,,,
BROMELIACEAE,"Neoregelia correia-araujoi","E.Pereira & I.A.Penna",review,,,,
BROMELIACEAE,"Neoregelia desenganensis",Leme,review,,,,
BROMELIACEAE,"Neoregelia eltoniana",W.Weber,review,,,,
BROMELIACEAE,"Neoregelia fluminensis",L.B.Sm.,review,,,,
BROMELIACEAE,"Neoregelia fosteriana",L.B.Sm.,review,,,,
BROMELIACEAE,"Neoregelia gavionensis","Martinelli & Leme",review,,,,
BROMELIACEAE,"Neoregelia ilhana",Leme,review,,,,
BROMELIACEAE,"Neoregelia indecora","(Mez) L.B.Sm.",review,,,,
BROMELIACEAE,"Neoregelia kuhlmannii",L.B.Sm.,review,,,,
BROMELIACEAE,"Neoregelia lactea","H.Luther & Leme",review,,,,
BROMELIACEAE,"Neoregelia leucophoea","(Baker) L.B.Sm.",review,,,,
BROMELIACEAE,"Neoregelia longipedicellata",Leme,review,,,,
BROMELIACEAE,"Neoregelia macahensis","(Ule) L.B.Sm.",review,,,,
BROMELIACEAE,"Neoregelia macwilliamsii",L.B.Sm.,review,,,,
BROMELIACEAE,"Neoregelia martinellii",W.Weber,review,,,,
BROMELIACEAE,"Neoregelia nevaresii","Leme & H.Luther",review,,,,
BROMELIACEAE,"Neoregelia petropolitana",Leme,review,,,,
BROMELIACEAE,"Neoregelia roethii",W.Weber,review,,,,
BROMELIACEAE,"Neoregelia rubrovittata",Leme,review,,,,
BROMELIACEAE,"Neoregelia sapiatibensis","E.Pereira & I.A.Penna",review,,,,
BROMELIACEAE,"Neoregelia tenebrosa",Leme,review,,,,
BROMELIACEAE,"Neoregelia uleana",L.B.Sm.,review,,,,
BROMELIACEAE,"Neoregelia watersiana",Leme,review,,,,
BROMELIACEAE,"Nidularium altimontanum",Leme,validation,,,,
BROMELIACEAE,"Nidularium angustifolium",Ule,validation,,,,
BROMELIACEAE,"Nidularium apiculatum",L.B.Sm.,validation,,,,
BROMELIACEAE,"Nidularium atalaiaense","E.Pereira & Leme",validation,,,,
BROMELIACEAE,"Nidularium fradense",Leme,validation,,,,
BROMELIACEAE,"Nidularium fulgens",Lem.,validation,,,,
BROMELIACEAE,"Nidularium itatiaiae",L.B.Sm.,validation,,,,
BROMELIACEAE,"Nidularium mangaratibense",Leme,validation,,,,
BROMELIACEAE,"Nidularium organense",Leme,validation,,,,
BROMELIACEAE,"Nidularium rosulatum",Ule,validation,,,,
BROMELIACEAE,"Nidularium utriculosum",Ule,validation,,,,
BROMELIACEAE,"Nidularium viridipetalum",Leme,validation,,,,
BROMELIACEAE,"Pitcairnia albiflos",Herb.,validation,,,,
BROMELIACEAE,"Pitcairnia beycalema",Beer,validation,,,,
BROMELIACEAE,"Pitcairnia corcovadensis",Wawra,validation,,,,
BROMELIACEAE,"Pitcairnia encholirioides",L.B.Sm.,validation,,,,
BROMELIACEAE,"Pitcairnia insularis","Tatagiba & R.J.V.Alves",validation,,,,
BROMELIACEAE,"Pitcairnia staminea",Lodd.,validation,,,,
BROMELIACEAE,"Pitcairnia suaveolens",Lindl.,validation,,,,
BROMELIACEAE,"Pitcairnia wendtiae","Tatagiba & B.R.Silva",validation,,,,
BROMELIACEAE,"Quesnelia edmundoi",L.B.Sm.,validation,,,,
BROMELIACEAE,"Quesnelia lateralis",Wawra,validation,,,,
BROMELIACEAE,"Quesnelia seideliana",L.B.Sm.,validation,,,,
BROMELIACEAE,"Tillandsia brachyphylla",Baker,validation,,,,
BROMELIACEAE,"Tillandsia carminea",W.Till,validation,,,,
BROMELIACEAE,"Tillandsia grazielae","D.Sucre & R.Braga",validation,,,,
BROMELIACEAE,"Tillandsia neglecta",E.Pereira,validation,,,,
BROMELIACEAE,"Tillandsia nuptialis","R.Braga & Sucre",validation,,,,
BROMELIACEAE,"Tillandsia organensis",Ehlers,validation,,,,
BROMELIACEAE,"Tillandsia reclinata","E.Pereira & Martinelli",validation,,,,
BROMELIACEAE,"Tillandsia roseiflora","Ehlers & W.Weber",validation,,,,
BROMELIACEAE,"Tillandsia sucrei",E.Pereira,validation,,,,
BROMELIACEAE,"Tillandsia thiekenii",Ehlers,validation,,,,
BROMELIACEAE,"Vriesea agostiniana",E.Pereira,validation,,,,
BROMELIACEAE,"Vriesea altimontana","E.Pereira & Martinelli",validation,,,,
BROMELIACEAE,"Vriesea altomacaensis",A.F.Costa,validation,,,,
BROMELIACEAE,"Vriesea atra",Mez,open,,,,
BROMELIACEAE,"Vriesea atrococcinea",Rauh,validation,,,,
BROMELIACEAE,"Vriesea bleherae","Roth & W. Weber",validation,,,,
BROMELIACEAE,"Vriesea botafogensis",Mez,validation,,,,
BROMELIACEAE,"Vriesea brassicoides","(Baker) Mez",validation,,,,
BROMELIACEAE,"Vriesea costae","B.R. Silva & Leme",validation,,,,
BROMELIACEAE,"Vriesea croceana","Leme & G.K.Br.",validation,,,,
BROMELIACEAE,"Vriesea eltoniana",E.Pereira,,,,,
BROMELIACEAE,"Vriesea fidelensis",Leme,,,,,
BROMELIACEAE,"Vriesea fluminensis",E.Pereira,,,,,
BROMELIACEAE,"Vriesea fontourae","B.R. Silva",,,,,
BROMELIACEAE,"Vriesea fradensis",A.F.Costa,,,,,
BROMELIACEAE,"Vriesea garlippiana",Leme,,,,,
BROMELIACEAE,"Vriesea gastiniana","Leme & G.K.Br.",,,,,
BROMELIACEAE,"Vriesea goniorachis","(Baker) Mez",,,,,
BROMELIACEAE,"Vriesea grandiflora",Leme,,,,,
BROMELIACEAE,"Vriesea joyae","E.Pereira & I.A.Penna",,,,,
BROMELIACEAE,"Vriesea leptantha",Harms,,,,,
BROMELIACEAE,"Vriesea lidicensis",Reitz,,,,,
BROMELIACEAE,"Vriesea nubicola",Leme,,,,,
BROMELIACEAE,"Vriesea pastuchoffiana",Glaz.,,,,,
BROMELIACEAE,"Vriesea pauciflora",Mez,,,,,
BROMELIACEAE,"Vriesea punctulata","E.Pereira & I.A.Penna",,,,,
BROMELIACEAE,"Vriesea roethii",W.Weber,,,,,
BROMELIACEAE,"Vriesea rubyae",E.Pereira,,,,,
BROMELIACEAE,"Vriesea saundersii","(Carrière) E.Morren ex Mez",,,,,
BROMELIACEAE,"Vriesea secundiflora",Leme,,,,,
BROMELIACEAE,"Vriesea serrana","E.Pereira & I.A.Penna",,,,,
BROMELIACEAE,"Vriesea sucrei","L.B.Sm. & Read",,,,,
BROMELIACEAE,"Vriesea teresopolitana",Leme,,,,,
BROMELIACEAE,"Vriesea thyrsoidea",Mez,,,,,
BROMELIACEAE,"Vriesea triligulata",Mez,,,,,
BROMELIACEAE,"Vriesea vidalii","L.B.Sm. & Handro",,,,,
BROMELIACEAE,"Vriesea warmingii",E.Morren,,,,,
BROMELIACEAE,"Vriesea zildae","R. Moura & A. F. Costa",,,,,
BRYACEAE,"Bryum turbinatum","(Hedw.) Turner",,,,,
BRYACEAE,"Ptychostomum caespiticium","(Brid.) J.R.Spence & H.P.Ramsay",,,,,
BURSERACEAE,"Tetragastris breviacuminata",Swart,validation,,,,
CACTACEAE,"Pilosocereus ulei","(K.Schum.) Byles & G.D.Rowley",open,,,,
CACTACEAE,"Rhipsalis flagelliformis","N.P.Taylor & Zappi",open,,,,
CACTACEAE,"Rhipsalis mesembryanthemoides",Haw.,open,,,,
CACTACEAE,"Rhipsalis ormindoi","N.P.Taylor & Zappi",,,,,
CACTACEAE,"Rhipsalis pentaptera",A.Dietr.,open,,,,
CALLIERGONACEAE,"Warnstorfia exannulata","(Schimp.) Loeske",,,,,
CALOPHYLLACEAE,"Kielmeyera excelsa",Cambess.,open,,,,
CALOPHYLLACEAE,"Kielmeyera gracilis",Wawra,open,,,,
CALOPHYLLACEAE,"Kielmeyera insignis",Saddi,open,,,,
CALOPHYLLACEAE,"Kielmeyera rizziniana",Saddi,open,,,,
CAMPANULACEAE,"Lobelia glazioviana",Zahlbr.,,,,,
CAMPANULACEAE,"Lobelia santos-limae",Brade,,,,,
CAMPANULACEAE,"Siphocampylus viscidus",E.Wimm.,,,,,
CANELLACEAE,"Cinnamodendron sampaioanum",Occhioni,validation,,,,
CAPPARACEAE,"Neocalyptrocalyx eichleriana","(Urb.) Iltis & Cornejo",open,,,,
CELASTRACEAE,"Maytenus basidentata",Reissek,sig,,,,
CELASTRACEAE,"Maytenus samydaeformis",Reissek,sig,,,,
CEPHALOZIELLACEAE,"Cylindrocolea brasiliensis","Costa et al.",open,,,,
CHRYSOBALANACEAE,"Couepia parvifolia",Prance,validation,,,,
CHRYSOBALANACEAE,"Hirtella barrosoi",Prance,validation,,,,
CHRYSOBALANACEAE,"Licania glazioviana",Warm.,validation,,,,
CLUSIACEAE,"Clusia fragrans",Gardner,open,,,,
CLUSIACEAE,"Clusia immersa",C.M.Vieira,open,,,,
CLUSIACEAE,"Clusia studartiana","C.M.Vieira & Gomes da Silva",open,,,,
CLUSIACEAE,"Garcinia calyptrata","(Schltdl.) Bittrich",open,,,,
COMBRETACEAE,"Terminalia acuminata","(Allemão) Eichler",review,,,,
COMMELINACEAE,"Dichorisandra fluminensis",Brade,review,,,,
COMMELINACEAE,"Dichorisandra gaudichaudiana",Kunth,review,,,,
COMMELINACEAE,"Dichorisandra nana","Aona & M.C.E.Amaral",review,,,,
COMMELINACEAE,"Dichorisandra odorata","Aona & M.C.E.Amaral",review,,,,
COMMELINACEAE,"Dichorisandra oxypetala",Hook.,review,,,,
COMMELINACEAE,"Siderasis fuscata","(Lodd.) H.E.Moore",review,,,,
CONNARACEAE,"Connarus marginatus",Planch.,,,,,
CONVOLVULACEAE,"Bonamia langsdorffii","(Meisn.) Hallier f.",,,,,
CONVOLVULACEAE,"Bonamia umbellata","(Choisy) Hallier f.",,,,,
CUCURBITACEAE,"Cayaponia latiloba","(Cogn.) Gomes-Klein",,,,,
CUCURBITACEAE,"Gurania cinerea",Suessenguth,,,,,
CUCURBITACEAE,"Gurania cogniauxiana",Barb.Rodr.,,,,,
CUCURBITACEAE,"Gurania ovata",Cogn.,,,,,
CUCURBITACEAE,"Wilbrandia glaziovii",Cogn.,,,,,
CYPERACEAE,"Cyperus drummondii","Torr. & Hook.",,,,,
CYPERACEAE,"Eleocharis glaucovirens",Boeckeler,,,,,
CYPERACEAE,"Eleocharis schenckii",Boeckeler,,,,,
CYPERACEAE,"Hypolytrum glaziovii",Boeckeler,,,,,
CYPERACEAE,"Pleurostachys douglasii",C.B.Clarke,,,,,
CYPERACEAE,"Pleurostachys turbinata","(Nees) H.Pfeiff.",,,,,
CYPERACEAE,"Rhynchospora luetzelburgiana",Kük.,,,,,
CYPERACEAE,"Rhynchospora sampaioana",Gross,,,,,
CYPERACEAE,"Scleria bradei",Pilg.,,,,,
CYPERACEAE,"Trilepis tenuis",Vitta,,,,,
DICHAPETALACEAE,"Stephanopodium estrellense",Baill.,open,,,,
DICHAPETALACEAE,"Stephanopodium organense","(Rizzini) Prance",open,,,,
DICHAPETALACEAE,"Stephanopodium sessile",Rizzini,open,,,,
DICRANACEAE,"Dicranodontium pulchroalare",Broth.,,,,,
DICRANACEAE,"Dicranoloma brasiliense",Herzog,open,,,,
DILLENIACEAE,"Davilla glaziovii",Eichler,open,,,,
