"Familia";"Especie";"Endemica";"Altitude";"EOO";"AOO";"Válidos";"Inválidos";"Não validados";"Total registros"
POACEAE;Digitaria chaseae;yes;181;269,35km²;4,0km²;0;1;2;3;
POACEAE;Digitaria pampinosa;yes;1750;780,57km²;20,0km²;0;3;4;7;
RUBIACEAE;Diodia macrophylla;yes;100~920;258,44km²;4,0km²;1;11;1;13;
EBENACEAE;Diospyros mexiae;yes;920;165,81km²;16,0km²;6;1;0;7;
LYTHRACEAE;Diplusodon adpressipilus;yes;1000~1200;655,79km²;28,0km²;10;0;0;10;
LYTHRACEAE;Diplusodon alatus;;800~1300;1.052,13km²;32,0km²;16;0;2;18;
LYTHRACEAE;Diplusodon appendiculosus;yes;830~1400;521,97km²;8,0km²;3;0;1;4;
LYTHRACEAE;Diplusodon argenteus;yes;870~1200;1.875,11km²;68,0km²;21;0;1;22;
LYTHRACEAE;Diplusodon bradei;yes;850~1379;24.530,4km²;72,0km²;28;0;1;29;
LYTHRACEAE;Diplusodon canastrensis;yes;;471,19km²;16,0km²;16;0;0;16;
LYTHRACEAE;Diplusodon capitalensis;yes;1000;2.242,41km²;24,0km²;6;1;0;7;
LYTHRACEAE;Diplusodon capitatus;yes;;264,95km²;4,0km²;1;0;4;5;
LYTHRACEAE;Diplusodon chapadensis;yes;1200;260,95km²;4,0km²;1;0;0;1;
LYTHRACEAE;Diplusodon decussatus;yes;750~1200;40.842,46km²;28,0km²;9;0;2;11;
LYTHRACEAE;Diplusodon floribundus;yes;300~490;377,42km²;24,0km²;10;0;0;10;
LYTHRACEAE;Diplusodon glocimarii;yes;700~750;11.032,93km²;44,0km²;21;0;0;21;
LYTHRACEAE;Diplusodon grahamae;yes;1200;261,88km²;4,0km²;1;0;0;1;
LYTHRACEAE;Diplusodon heringeri;;725~1400;1.165,91km²;48,0km²;11;0;0;11;
LYTHRACEAE;Diplusodon leucocalycinus;yes;1000~1560;3.466,71km²;100,0km²;40;0;0;40;
LYTHRACEAE;Diplusodon longipes;yes;380~810;4.010,1km²;36,0km²;10;0;2;12;
LYTHRACEAE;Diplusodon mattogrossensis;yes;500;3.805,06km²;20,0km²;7;0;1;8;
LYTHRACEAE;Diplusodon mononeuros;yes;1160;287,76km²;4,0km²;2;0;0;2;
LYTHRACEAE;Diplusodon nigricans;yes;;543,83km²;16,0km²;4;0;3;7;
LYTHRACEAE;Diplusodon parvifolius;yes;1000~1477;58.811,53km²;136,0km²;70;0;2;72;
LYTHRACEAE;Diplusodon petiolatus;yes;260~480;4.489,5km²;32,0km²;9;0;0;9;
LYTHRACEAE;Diplusodon plumbeus;yes;1070~1250;1.523,78km²;28,0km²;26;0;1;27;
LYTHRACEAE;Diplusodon pygmaeus;yes;1500;38,69km²;12,0km²;4;0;1;5;
LYTHRACEAE;Diplusodon rosmarinifolius;yes;850~1200;101.804,86km²;192,0km²;109;2;2;113;
LYTHRACEAE;Diplusodon rotundifolius;yes;920~1140;3.452,96km²;48,0km²;26;1;6;33;
LYTHRACEAE;Diplusodon rupestris;yes;;270,02km²;4,0km²;1;0;0;1;
LYTHRACEAE;Diplusodon saxatilis;yes;;438,45km²;8,0km²;4;0;0;4;
LYTHRACEAE;Diplusodon sigillatus;yes;1000~1800;517,0km²;48,0km²;27;0;1;28;
LYTHRACEAE;Diplusodon sordidus;yes;1000~1600;619,9km²;44,0km²;26;0;3;29;
LYTHRACEAE;Diplusodon thysanosepalus;yes;;260,94km²;4,0km²;1;0;0;1;
LYTHRACEAE;Diplusodon trigintus;yes;400;19.433,25km²;16,0km²;4;0;0;4;
APOCYNACEAE;Ditassa insignis;yes;;0,0km²;8,0km²;13;1;1;15;
APOCYNACEAE;Ditassa obscura;yes;1000;115,64km²;12,0km²;7;14;7;28;
MORACEAE;Dorstenia contensis;yes;578~850;8.611,82km²;40,0km²;12;0;0;12;
MORACEAE;Dorstenia strangii;yes;;547,88km²;8,0km²;2;0;0;2;
ANNONACEAE;Duguetia rotundifolia;yes;;258,71km²;4,0km²;0;0;1;1;
BROMELIACEAE;Dyckia argentea;yes;1300~1400;165,9km²;12,0km²;6;2;0;8;
BROMELIACEAE;Dyckia brachyphylla;yes;800~1300;4.356,97km²;20,0km²;2;5;5;12;
BROMELIACEAE;Dyckia bracteata;yes;1000~2500;58.238,73km²;52,0km²;0;5;28;33;
BROMELIACEAE;Dyckia densiflora;yes;1000~1800;n/a;n/a;0;2;0;2;
BROMELIACEAE;Dyckia elongata;yes;;n/a;n/a;0;1;3;4;
BROMELIACEAE;Dyckia mello-barretoi;yes;600~1130;267,86km²;4,0km²;0;3;1;4;
BROMELIACEAE;Dyckia pectinata;yes;800~950;2.192,34km²;16,0km²;0;1;5;6;
ALISMATACEAE;Echinodorus lanceolatus;;;2.252.056,83km²;92,0km²;35;0;0;35;
CYPERACEAE;Eleocharis loefgreniana;yes;864~1340;2.675.802,86km²;100,0km²;0;0;43;43;
CYPERACEAE;Eleocharis morroi;yes;1000;386,11km²;12,0km²;0;0;3;3;
CYPERACEAE;Eleocharis olivaceonux;;;2.934,17km²;16,0km²;4;6;0;10;
BROMELIACEAE;Encholirium reflexum;yes;;262,89km²;4,0km²;1;2;0;3;
ASTERACEAE;Eremanthus pabstii;yes;;1.887,62km²;28,0km²;0;0;18;18;
ERIOCAULACEAE;Eriocaulon aquatile;yes;123~1600;692.117,51km²;104,0km²;0;0;41;41;
ERIOCAULACEAE;Eriocaulon burchellii;yes;450~1000;523,98km²;8,0km²;3;2;2;7;
ERIOCAULACEAE;Eriocaulon cipoense;yes;;426,65km²;8,0km²;0;0;5;5;
ERIOCAULACEAE;Eriocaulon griseum;yes;;511,65km²;8,0km²;0;0;2;2;
ERIOCAULACEAE;Eriocaulon papillosum;yes;;266,72km²;4,0km²;0;0;2;2;
LAMIACEAE;Eriope angustifolia;;;533,22km²;8,0km²;0;0;5;5;
LAMIACEAE;Eriope confusa;yes;730~1000;4.814,73km²;60,0km²;0;0;30;30;
LAMIACEAE;Eriope filifolia;yes;;5.315,14km²;44,0km²;0;0;20;20;
LAMIACEAE;Eriope montana;yes;1250~1500;10.259,49km²;44,0km²;0;0;24;24;
LAMIACEAE;Eriope sincorana;yes;500~1280;9.077,71km²;120,0km²;0;0;68;68;
LAMIACEAE;Eriope xavantium;yes;;262,01km²;4,0km²;0;0;1;1;
OROBANCHACEAE;Esterhazya nanuzae;yes;950~1450;1.247,81km²;24,0km²;6;0;0;6;
CONVOLVULACEAE;Evolvulus chapadensis;yes;1000~1450;1.402,45km²;20,0km²;10;1;5;16;
CONVOLVULACEAE;Evolvulus gnaphalioides;yes;500~1105;43.750,99km²;44,0km²;31;1;1;33;
MORACEAE;Ficus carautana;yes;;51.948,02km²;52,0km²;31;0;2;33;
RUBIACEAE;Galianthe macedoi;yes;800;78.960,8km²;16,0km²;4;2;0;6;
RUBIACEAE;Galianthe matogrossiana;yes;;540,83km²;8,0km²;2;0;0;2;
AMARANTHACEAE;Gomphrena hermogenesii;yes;845~1509;8.307,29km²;36,0km²;9;4;0;13;
AMARANTHACEAE;Gomphrena hillii;yes;280~600;176.340,7km²;24,0km²;6;14;0;20;
AMARANTHACEAE;Gomphrena marginata;yes;1200;2.714,82km²;32,0km²;9;2;0;11;
POACEAE;Guadua magna;yes;351;80,34km²;16,0km²;0;3;4;7;
