"Familia";"Especie";"Bioma"
APOCYNACEAE;Rauvolfia ligustrina;Caatinga
CYPERACEAE;Rhynchospora enmanuelis;Mata Atlântica
CYPERACEAE;Rhynchospora enmanuelis;Cerrado
CYPERACEAE;Rhynchospora tenuis;Amazônia
CYPERACEAE;Rhynchospora tenuis;Mata Atlântica
CYPERACEAE;Rhynchospora tenuis;Caatinga
CYPERACEAE;Rhynchospora tenuis;Pampa (Campos Sulinos)
CYPERACEAE;Rhynchospora tenuis;Cerrado
CYPERACEAE;Rhynchospora tenuis;Pantanal
CONNARACEAE;Rourea chrysomalla;Cerrado
OCHNACEAE;Sauvagesia lanceolata;Cerrado
OCHNACEAE;Sauvagesia oliveirae;Cerrado
OCHNACEAE;Sauvagesia ribeiroi;Cerrado
ARALIACEAE;Schefflera botumirimensis;Cerrado
ARALIACEAE;Schefflera cephalantha;Cerrado
ARALIACEAE;Schefflera fruticosa;Cerrado
ARALIACEAE;Schefflera lucumoides;Cerrado
GENTIANACEAE;Schultesia bahiensis;Cerrado
GENTIANACEAE;Schultesia bahiensis;Caatinga
GENTIANACEAE;Schultesia crenuliflora;Caatinga
GENTIANACEAE;Schultesia crenuliflora;Cerrado
GENTIANACEAE;Schultesia irwiniana;Cerrado
GENTIANACEAE;Schultesia pachyphylla;Cerrado
GENTIANACEAE;Schultesia piresiana;Cerrado
GENTIANACEAE;Schultesia sucreana;Cerrado
CYPERACEAE;Scleria cuyabensis;Cerrado
SOLANACEAE;Solanum eitenii;Cerrado
POACEAE;Sporobolus hians;Cerrado
VERBENACEAE;Stachytarpheta ajugifolia;Cerrado
VERBENACEAE;Stachytarpheta ajugifolia;Mata Atlântica
VERBENACEAE;Stachytarpheta bicolor;Cerrado
VERBENACEAE;Stachytarpheta bicolor;Caatinga
VERBENACEAE;Stachytarpheta discolor;Cerrado
VERBENACEAE;Stachytarpheta froesii;Caatinga
VERBENACEAE;Stachytarpheta froesii;Cerrado
VERBENACEAE;Stachytarpheta integrifolia;Cerrado
VERBENACEAE;Stachytarpheta itambensis;Cerrado
VERBENACEAE;Stachytarpheta lacunosa;Cerrado
VERBENACEAE;Stachytarpheta lacunosa;Caatinga
VERBENACEAE;Stachytarpheta lychnitis;Cerrado
VERBENACEAE;Stachytarpheta lychnitis;Caatinga
VERBENACEAE;Stachytarpheta monachinoi;Cerrado
RUBIACEAE;Staelia tocantinsiana;Cerrado
ACANTHACEAE;Staurogyne minarum;Mata Atlântica
ACANTHACEAE;Staurogyne minarum;Cerrado
ACANTHACEAE;Stenandrium irwinii;Cerrado
ASTERACEAE;Stevia resinosa;Cerrado
LORANTHACEAE;Struthanthus microstylus;Cerrado
LORANTHACEAE;Struthanthus planaltinae;Cerrado
LORANTHACEAE;Struthanthus pusillifolius;Cerrado
ARECACEAE;Syagrus werdermannii;Cerrado
ARECACEAE;Syagrus werdermannii;Caatinga
SYMPLOCACEAE;Symplocos glaberrima;Cerrado
SYMPLOCACEAE;Symplocos insolita;Cerrado
SYMPLOCACEAE;Symplocos saxatilis;Cerrado
ERIOCAULACEAE;Syngonanthus hygrotrichus;Cerrado
ERIOCAULACEAE;Syngonanthus hygrotrichus;Amazônia
APOCYNACEAE;Tassadia geniculata;Cerrado
APOCYNACEAE;Tassadia rizzoana;Cerrado
BROMELIACEAE;Tillandsia sprengeliana;Cerrado
BROMELIACEAE;Tillandsia sprengeliana;Mata Atlântica
MELASTOMATACEAE;Trembleya rosmarinoides;Cerrado
COMMELINACEAE;Tripogandra elata;Cerrado
COMMELINACEAE;Tripogandra warmingiana;Cerrado
COMMELINACEAE;Tripogandra warmingiana;Mata Atlântica
TURNERACEAE;Turnera cipoensis;Cerrado
TURNERACEAE;Turnera coccinea;Cerrado
TURNERACEAE;Turnera coccinea;Caatinga
TURNERACEAE;Turnera collotricha;Cerrado
TURNERACEAE;Turnera coriacea;Cerrado
TURNERACEAE;Turnera foliosa;Cerrado
TURNERACEAE;Turnera ignota;Cerrado
TURNERACEAE;Turnera luetzelburgii;Caatinga
