"Familia";"Especie";"Ação";"Situação"
ARALIACEAE;Schefflera fruticosa;1.1 Site/area protection;on going;
GENTIANACEAE;Schultesia irwiniana;1.1 Site/area protection;needed;
GENTIANACEAE;Schultesia pachyphylla;1.1 Site/area protection;on going;
GENTIANACEAE;Schultesia sucreana;1.1 Site/area protection;on going;
CYPERACEAE;Scleria cuyabensis;1.1 Site/area protection;on going;
VERBENACEAE;Stachytarpheta froesii;1.1 Site/area protection;on going;
VERBENACEAE;Stachytarpheta integrifolia;2.1 Site/area management;on going;
VERBENACEAE;Stachytarpheta lacunosa;2.1 Site/area management;needed;
RUBIACEAE;Staelia tocantinsiana;1.1 Site/area protection;on going;
ACANTHACEAE;Staurogyne minarum;1.1 Site/area protection;on going;
ACANTHACEAE;Stenandrium irwinii;1.1 Site/area protection;on going;
ASTERACEAE;Stenophalium heringeri;1.1 Site/area protection;on going;
ASTERACEAE;Stevia resinosa;1.1 Site/area protection;on going;
LORANTHACEAE;Struthanthus planaltinae;1.1 Site/area protection;on going;
LORANTHACEAE;Struthanthus pusillifolius;1.1 Site/area protection;on going;
SYMPLOCACEAE;Symplocos glaberrima;1.1 Site/area protection;on going;
SYMPLOCACEAE;Symplocos insolita;1.1 Site/area protection;on going;
SYMPLOCACEAE;Symplocos saxatilis;1.1 Site/area protection;on going;
ERIOCAULACEAE;Syngonanthus bracteosus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Syngonanthus hygrotrichus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Syngonanthus latifolius;1.1 Site/area protection;needed;
BROMELIACEAE;Tillandsia sprengeliana;1.1 Site/area protection;on going;
COMMELINACEAE;Tripogandra elata;3.4 Ex-situ conservation;on going;
COMMELINACEAE;Tripogandra warmingiana;1.1 Site/area protection;on going;
TURNERACEAE;Turnera cipoensis;1.1 Site/area protection;on going;
TURNERACEAE;Turnera ignota;1.1 Site/area protection;on going;
TURNERACEAE;Turnera luetzelburgii;1.1 Site/area protection;on going;
TURNERACEAE;Turnera pinifolia;1.1 Site/area protection;on going;
VELLOZIACEAE;Vellozia crinita;5.1.2 National level;on going;
VELLOZIACEAE;Vellozia crinita;1.1 Site/area protection;on going;
